Código,Descripción,Final USD,Final ESP USD,Promoción,Categoría,Sub Categoría,Marca,Tipo IVA
CONECTOR_LPT,CABLE CONECTOR PUERTO PARALELO /  LPT,2.61,2.53,,CABLES Y ADAPTADORES,CABLES Y ADAPTADORES VARIOS,GENERAL,21.0
400900-TIPO8,CABLE DE ALIMENTACION TIPO 8 220V,1.69,1.65,,PRODUCTOS EN OUTLET,CABLES,GENERAL,21.0
5060012,CABLE PC-INTERLOCK 220V,2.67,2.6,,CABLES Y ADAPTADORES,CABLES DE CORRIENTE,GENERAL,21.0
POWER IRAM,CABLE POWER PLUG INTERLOCK IRAM (FUENTE PC),2.67,2.59,,CABLES Y ADAPTADORES,CABLES DE CORRIENTE,E VIEW,21.0
5060014,CABLE SERIAL ATA 0.5M,0.94,0.94,,CABLES Y ADAPTADORES,CABLES Y ADAPTADORES VARIOS,GENERAL,21.0
USB-10,CABLE USB A TIPO C/MICRO USB/IPHONE/ 3 EN 1 BLACK USB-10,14.91,14.46,,CABLES Y ADAPTADORES,CABLES USB,E-View,21.0
HP 934 BK XL E-VIEW,CARTUCHO ALTERNATIVO C2P23AL HP 934 BK XL E-VIEW,16.41,15.92,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 02 BK E-VIEW,CARTUCHO ALTERNATIVO C8721WL HP 02 BK E-VIEW,1.9,1.85,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 02 C E-VIEW,CARTUCHO ALTERNATIVO C8771WL HP 02 C E-VIEW,1.79,1.73,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 02 ML E-VIEW,CARTUCHO ALTERNATIVO C8772WL HP 02 ML E-VIEW,1.79,1.73,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 02 Y E-VIEW,CARTUCHO ALTERNATIVO C8773WL HP 02 Y E-VIEW,1.79,1.73,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 02 CYAN LIGHT E-VIEW,CARTUCHO ALTERNATIVO C8774WL HP 02 CYAN LIGHT E-VIEW,1.79,1.73,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 02 MAGENTA LIGHT E-VIEW,CARTUCHO ALTERNATIVO C8775WL HP 02 MAGENTA LIGHT E-VIEW,1.79,1.73,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 564 BK E-VIEW,CARTUCHO ALTERNATIVO CB316WL HP 564 BK E-VIEW,1.97,1.91,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 564 C XL E-VIEW,CARTUCHO ALTERNATIVO CB318WL HP 564 C XL E-VIEW,1.69,1.65,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 564 M XL E-VIEW,CARTUCHO ALTERNATIVO CB319WL HP 564 M XL E-VIEW,1.69,1.65,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 564 Y XL E-VIEW,CARTUCHO ALTERNATIVO CB320WL HP 564 Y XL E-VIEW,1.69,1.65,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 950 BK XL E-VIEW,CARTUCHO ALTERNATIVO CN049AL HP 950 BK XL E-VIEW,3.12,3.03,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 932 BK XL E-VIEW,CARTUCHO ALTERNATIVO CN053AL HP 932 BK XL E-VIEW,2.85,2.76,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 933 Y XL E-VIEW,CARTUCHO ALTERNATIVO CN056AL HP 933 Y XL E-VIEW,2.61,2.53,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 564 BK XL E-VIEW,CARTUCHO ALTERNATIVO CN684WN HP 564 BK XL E-VIEW,1.68,1.62,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
HP 711 BK XL E-VIEW,CARTUCHO ALTERNATIVO CZ129A HP 711 BK XL E-VIEW,4.69,4.54,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
C4840A E-VIEW,CARTUCHO ALTERNATIVO HP C4840A(10BK) E-VIEW,3.38,3.27,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,E VIEW,10.5
