ID,DETALLE,CODIGO ALFA,CODIGO PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PRECIO,IVA,IMP. INTERNO,MARKUP,PRECIO PUBLICO,COTIZACION,PRECIO PUBLICO ARS,URI,FECHA HORA
949,Resma A4 70gr 500 hojas.,HUS7812,7812,Papeleria,Resmas,HUSARES,3.94,21.0,0.0,10,4.33,365.5,1582.62,https://elit.com.ar/producto/949-resma-a4-70gr-500-hojas,8/18/2023 3:47:36 PM 
3471,Cartucho de Tinta EPSON 133 Amarillo,EPST133420-AL,T133420-AL,Insumos,Cartuchos de Tinta,EPSON,15.97,10.5,0.0,10,17.57,365.5,6421.84,https://elit.com.ar/producto/3471-cartucho-de-tinta-epson-133-amarillo,8/18/2023 3:47:36 PM 
3882,Botella de Tinta EPSON 664 Cian,EPST664220-AL,T664220-AL,Insumos,Botellas de Tinta,EPSON,22.14,21.0,0.0,10,24.35,365.5,8899.93,https://elit.com.ar/producto/3882-botella-de-tinta-epson-664-cian,8/18/2023 3:47:36 PM 
4000,Parlante Z120 Stereo,LOGPARZ120WH,980-000573,Audio,Parlantes,LOGITECH,43.64,21.0,0.0,10,48.0,365.5,17544.0,https://elit.com.ar/producto/4000-parlante-z120-stereo,8/18/2023 3:47:36 PM 
4521,Disco Externo HDD WESTERN DIGITAL Elements 1TB USB 3.0 Tipo A Negro,WD-HD1TBU3ELEN,WDBUZG0010BBK-WESN,Almacenamiento,Discos Externos,WD,127.1,10.5,0.0,10,139.81,365.5,51100.56,https://elit.com.ar/producto/4521-disco-externo-hdd-western-digital-elements-1tb-usb-3-0-tipo-a-negro,8/18/2023 3:47:36 PM 
4631,Funda p/Tablet BAGS FN10TBT-FRO Field Rose Estampado,BAGFUNFSN1415NA,FN10TBT-FRO,Estuches,Fundas,BAGS,9.74,21.0,0.0,10,10.71,365.5,3914.51,https://elit.com.ar/producto/4631-funda-p-tablet-bags-fn10tbt-fro-field-rose-estampado,8/18/2023 3:47:36 PM 
4634,Funda p/Tablet BAGS FN7TBT-NSV Newspaper Estampado,BAGFUNFSNHDN,FN7TBT-NSV,Estuches,Fundas,BAGS,5.93,21.0,0.0,10,6.52,365.5,2383.06,https://elit.com.ar/producto/4634-funda-p-tablet-bags-fn7tbt-nsv-newspaper-estampado,8/18/2023 3:47:36 PM 
4635,Funda p/Tablet BAGS FSN7TBT-N Negro,BAGFUNFSN7TBTN,FSN7TBT-N,Estuches,Fundas,BAGS,6.55,21.0,0.0,10,7.21,365.5,2635.26,https://elit.com.ar/producto/4635-funda-p-tablet-bags-fsn7tbt-n-negro,8/18/2023 3:47:36 PM 
4685,Cinta de tinta S015631 Negra para LX-350,EPSCINS015631,S015631,Insumos,Cintas,EPSON,6.36,21.0,0.0,10,7.0,365.5,2558.5,https://elit.com.ar/producto/4685-cinta-de-tinta-s015631-negra-para-lx-350,8/18/2023 3:47:36 PM 
5542,Funda p/Tablet BAGS Leopard Estampado,BAGFUNFN7TB-L,FN7TB-L,Estuches,Fundas,BAGS,5.93,21.0,0.0,10,6.52,365.5,2383.06,https://elit.com.ar/producto/5542-funda-p-tablet-bags-leopard-estampado,8/18/2023 3:47:36 PM 
5895,"Disco Interno HDD WESTERN DIGITAL Purple 1TB 3.5"" SATA 3.0 5400rpm",WD-HDWD10PURX,WD10PURZ,Almacenamiento,Discos Internos,WD,98.75,10.5,0.0,10,108.63,365.5,39704.27,https://elit.com.ar/producto/5895-disco-interno-hdd-western-digital-purple-1tb-3-5-sata-3-0-5400rpm,8/18/2023 3:47:36 PM 
5971,Cartucho de Tinta EPSON 296 Amarillo,EPST296420-AL,T296420-AL,Insumos,Cartuchos de Tinta,EPSON,19.27,10.5,0.0,10,21.2,365.5,7748.6,https://elit.com.ar/producto/5971-cartucho-de-tinta-epson-296-amarillo,8/18/2023 3:47:36 PM 
6283,Gabinete M-ATX KIT T M C/ Fuente 500W sin parlante,SOLGABCM-5832,CM-5832,Hardware,Gabinetes,SOLARMAX,83.54,10.5,0.0,10,91.89,365.5,33585.8,https://elit.com.ar/producto/6283-gabinete-m-atx-kit-t-m-c-fuente-500w-sin-parlante,8/18/2023 3:47:36 PM 
6305,Mouse Inalámbrico LOGITECH M170 Plateado,LOGMOU910004425,910-005334,Perifericos,Mouses,LOGITECH,18.8,10.5,0.0,10,20.68,365.5,7558.54,https://elit.com.ar/producto/6305-mouse-inalambrico-logitech-m170-plateado,8/18/2023 3:47:36 PM 
6306,Mouse Inalámbrico LOGITECH M170 Azul,LOGMOU910004638,910-004800,Perifericos,Mouses,LOGITECH,18.57,10.5,0.0,10,20.43,365.5,7467.17,https://elit.com.ar/producto/6306-mouse-inalambrico-logitech-m170-azul,8/18/2023 3:47:36 PM 
6307,Mouse Inalámbrico LOGITECH M170 Rojo,LOGMOU910004639,910-004941,Perifericos,Mouses,LOGITECH,18.57,10.5,0.0,10,20.43,365.5,7467.17,https://elit.com.ar/producto/6307-mouse-inalambrico-logitech-m170-rojo,8/18/2023 3:47:36 PM 
6309,Teclado Inalámbrico LOGITECH MK235 Negro,LOGTYM920007901,920-007901,Perifericos,Teclados,LOGITECH,46.12,10.5,0.0,10,50.73,365.5,18541.81,https://elit.com.ar/producto/6309-teclado-inalambrico-logitech-mk235-negro,8/18/2023 3:47:36 PM 
6310,Parlantes S150 Black,LOGPAR98000100,980-001004,Audio,Parlantes,LOGITECH,41.32,21.0,0.0,10,45.45,365.5,16611.98,https://elit.com.ar/producto/6310-parlantes-s150-black,8/18/2023 3:47:36 PM 
6456,Mouse Inalámbrico M280 Negro,LOGMO910-004284,910-004284,Perifericos,Mouses,LOGITECH,29.55,10.5,0.0,10,32.51,365.5,11882.41,https://elit.com.ar/producto/6456-mouse-inalambrico-m280-negro,8/18/2023 3:47:36 PM 
6477,Auricular LOGITECH H390 Negro,LOGMI981-000014,981-000014,Audio,Auriculares,LOGITECH,91.38,21.0,0.0,10,100.52,365.5,36740.06,https://elit.com.ar/producto/6477-auricular-logitech-h390-negro,8/18/2023 3:47:36 PM 
6591,Cámara Web LOGITECH C270,LOGWEBC270,960-000694,Perifericos,Camaras Web,LOGITECH,48.55,21.0,0.0,10,53.41,365.5,19521.36,https://elit.com.ar/producto/6591-camara-web-logitech-c270,8/18/2023 3:47:36 PM 
7014,Funda p/Tablet BAGS Invader Colours Estampado,BAGFUNFN7TBTINC,FN7TBT-INC,Estuches,Fundas,BAGS,7.01,21.0,0.0,10,7.71,365.5,2818.01,https://elit.com.ar/producto/7014-funda-p-tablet-bags-invader-colours-estampado,8/18/2023 3:47:36 PM 
7180,Cable auxiliar para audio 1mts diam 3.5 mm,XTECABXTG-212,XTG-212,Cables,Cables,XTECH,1.88,21.0,0.0,10,2.07,365.5,756.58,https://elit.com.ar/producto/7180-cable-auxiliar-para-audio-1mts-diam-3-5-mm,8/18/2023 3:47:36 PM 
7186,"Disco Interno SSD KINGSTON A400 240GB 2.5"" SATA 3.0  500MB/s",KINSSDSA400S240,SA400S37/240G,Almacenamiento,Discos Internos SSD,KINGSTON,45.64,10.5,0.0,10,50.2,365.5,18348.1,https://elit.com.ar/producto/7186-disco-interno-ssd-kingston-a400-240gb-2-5-sata-3-0-500mb-s,8/18/2023 3:47:36 PM 
7187,"Disco Interno SSD KINGSTON A400 480GB 2.5"" SATA 3.0  500MB/s",KINSSDSA400S480,SA400S37/480G,Almacenamiento,Discos Internos SSD,KINGSTON,64.67,10.5,0.0,10,71.14,365.5,26001.67,https://elit.com.ar/producto/7187-disco-interno-ssd-kingston-a400-480gb-2-5-sata-3-0-500mb-s,8/18/2023 3:47:36 PM 
7350,Router Nyx1200-AC NEXXT Wireless-AC 1200 Mbps 3 Puertos,NEXROUARL02902A,ARL02902A1,Networking,Routers,NEXXT,30.77,10.5,0.0,10,33.85,365.5,12372.18,https://elit.com.ar/producto/7350-router-nyx1200-ac-nexxt-wireless-ac-1200-mbps-3-puertos,8/18/2023 3:47:36 PM 
7708,Fuente CROMAX KC-DDA-600 600W Standart ATX Fijo,CROFUEDAA600,KC-DAA-600,Hardware,Fuentes,CROMAX,49.06,21.0,0.0,10,53.97,365.5,19726.04,https://elit.com.ar/producto/7708-fuente-cromax-kc-dda-600-600w-standart-atx-fijo,8/18/2023 3:47:36 PM 
7788,Air Cooler COOLER MASTER MasterAir MA410P RGB,CM-COOMA410P,MAP-T4PN-220PC-R1,Hardware,Coolers,COOLER MASTER,99.55,21.0,0.0,10,109.51,365.5,40025.91,https://elit.com.ar/producto/7788-air-cooler-cooler-master-master-air-ma410p-rgb,8/18/2023 3:47:36 PM 
7789,Air Cooler COOLER MASTER MasterAir MA410M ARGB,CM-COOMA410M,MAM-T4PN-218PC-R1,Hardware,Coolers,COOLER MASTER,158.66,21.0,0.0,10,174.53,365.5,63790.72,https://elit.com.ar/producto/7789-air-cooler-cooler-master-master-air-ma410m-argb,8/18/2023 3:47:36 PM 
7831,Mouse c/Cable LOGITECH G502 HERO Negro,LOGMOUG502HERO,910-005550,Perifericos,Mouses,LOGITECH,91.81,10.5,0.0,10,100.99,365.5,36911.85,https://elit.com.ar/producto/7831-mouse-c-cable-logitech-g502-hero-negro,8/18/2023 3:47:36 PM 
