Marca,Categoria,SubCategoria,SubCategoria_Auxiliar,Codigo,Articulo,Disponible,L4,IVA,Deposito
ACER,Informática,Computadoras,Notebook,4711121020384,"NB ACER ASPIRE VERO 15.6"" I7-1195G7 16GB 512GB W11 FHD",1,1642.0,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ACER,Informática,Computadoras,Notebook,ACER-SF314-42-R6 YC,"NB ACER SWIFT 3 14"" R5-4500U 8GB 256GB W10 ING (SIN ADAPTADOR)",1,1722.09,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AKRACING,Informática,Gaming,Sillas,853845007679,SILLA AKR OCTANE RED,69,703.23,001-I.V.A. 21 %,01-DH.Principal Vtas.
AKRACING,Informática,Gaming,Sillas,853845007693,SILLA AKR OCTANE BLUE,42,703.09,001-I.V.A. 21 %,01-DH.Principal Vtas.
AKRACING,Informática,Gaming,Sillas,853845007709,SILLA AKR OCTANE WHITE,19,715.76,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Audio,Parlante Bluetooth,,841667166834,PARLANTE INTELIGENTE BT AMAZON ECHO DOT 3 WIFI NEGRO,-1,100.14,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Audio,Parlante Bluetooth,,B07XJ8C8F5,PARLANTE INTELIGENTE BT AMAZON ECHO DOT 4 WIFI NEGRO CARBON,0,114.34,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Audio,Parlante Bluetooth,,B084J4KNDS,PARLANTE INTELIGENTE BT AMAZON ECHO DOT 4 WIFI BLANCO GLACIAR,0,114.34,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Audio,Parlante Bluetooth,,B084J4MZK8,PARLANTE INTELIGENTE BT AMAZON ECHO DOT 4 WIFI AZUL,0,114.34,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Electrónica,Ebook,,840268941093,"E-READER 6"" AMAZON KINDLE (2022)  16GB WIFI DENIM",1,219.71,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AMAZON,Electrónica,TV,,840080588964,AMAZON FIRE TV STICK 4K (SIN PILAS) (SIN TRAFO),2,93.53,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Electrónica,TV,,840080593296,AMAZON FIRE STICK LITE (SIN TRAFO Y PILAS),1200,98.02,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Electrónica,TV,,841667144719,AMAZON FIRE TV STICK 4K (SIN PILAS) (SIN TRAFO),874,98.0,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Informática,Tablet,,840080504575,"TABLET 10"" AMAZON FIRE HD 3GB 32GB  WIFI DENIM",6,248.99,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AMAZON,Informática,Tablet,,840080509594,"TABLET 10"" AMAZON FIRE HD 3GB 32GB  WIFI BLACK",53,248.99,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AMAZON,Informática,Tablet,,840080519647,"TABLET 10"" AMAZON FIRE HD 3GB 32GB  WIFI OLIVE",5,248.99,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AMAZON,Informática,Tablet,,841667166797,"TABLET 7"" AMAZON FIRE 7 1GB 16GB VERDE",0,102.07,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AMAZON,Informática,Tablet,,B07KD58DQS,"TABLET 10"" AMAZON FIRE HD 2GB 64GB  WIFI BLANCA",596,355.59,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AMD,Informática,Componentes,Microprocesador AMD,100-100000910WOF ,CPU AMD RYZEN 7 78003XD 5.0GHZ (S/COOLER),10,1098.81,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AMD,Informática,Componentes,Microprocesador AMD,100-100001015BOX  ,CPU AMD RYZEN 5 7600 5.1HGZ (AM5),19,568.22,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASROCK,Informática,Componentes,Motherboard LGA 1200,90-MXBGL0-A0UAYZ,MOTHERBOARD ASROCK H510 PRO BTC+ 12X PCIe (1200),2,216.0,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Componentes,Motherboard AM5,90MB1BF0-M0EAY0,MOTHERBOARD ASUS TUF B650M-PLUS (AM5),23,468.0,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Componentes,Motherboard LGA 1200,90MB1E80-M0EAY0,MOTHERBOARD ASUS PRIME H510M-K(1200),266,163.0,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Componentes,Motherboard LGA 1700,90MB1A10-M0EAY0,MOTHERBOARD ASUS PRIME H610M-K D4(1700),205,175.0,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Componentes,Placas de Video,90YV0GC0-M0AA10,VGA ASUS TUF RTX 3060 O12G V2 GAMING 12GB GDDR6,28,769.42,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Componentes,Placas de Video,90YV0IE0-MVAA00,VGA ASUS TUF RTX 4090 024G GAMING 24GB GDDRX,3,4231.78,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Componentes,Placas de Video,90YV0IJ0-MVAA00,VGA ASUS TUF RTX 4070 TI O12G 12GB GDDR6X,12,2026.13,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
