"Codigo","Descripcion","lista1","Tipo","IVA","ROS","MZA","CBA","LUG","Grupo","Rubro","Part Number","Tipo" 
"39624"," UVC ETIQUETA  CONTROL RADIACIÓN UV-C  X100U","82.95","A","21.0","2","1","2","2","0","","CD87-200","A"
"21068","65W AC ADAPTER DELTA ADP-65JH DB","52.32","A","21.0","2","N","N","N","90","001-0455","ADP-65JH DB","A"
"56","AC ADAPTER   - 76G011651-5A -","54.34","A","21.0","7","N","N","N","0","001-0455","76G011651-5A","A"
"163","ACCESORIO ANGULO EXTERNO MOVIL 70/105ºX25U","10.24","A","21.0","8","N","6","33","257","001-0055","FDAEM","A"
"36839","ACCESS POINT Aruba AP-515   WiFi6 (RW) Unified HPE","1018.5","A","10.5","R","N","N","N","605","001-0612","Q9H62A","A"
"14106","ADAPTADOR 5.25M A 5.25M POWER 15CM 4PINES","0.9","A","10.5","95","32","60","N","90","001-1055","CX933D","A"
"70010","ADAPTADOR 80 A 68 PINES P/SCSI","6.52","A","21.0","1","N","N","N","32","001-0131","","A"
"70186","ADAPTADOR 9M-25M BN-5015","1.62","A","21.0","2","N","N","N","32","001-0030","","A"
"483","ADAPTADOR C36H A DB25M","31.54","A","10.5","N","N","1","N","32","001-0030","","A"
"53438","ADAPTADOR DE CORRIENTE BROTHER PARA PJ-723/773","49.64","A","21.0","N","N","N","1","20","001-0455","PAAD600A","A"
"14811","ADAPTADOR IBM PCIe Riser Card 2 00D8604 X3630M4","59.25","A","10.5","N","N","N","2","250","001-0500","00D8604","A"
"60424","ADAPTADOR IDE A S-ATA  NOGANET P/ DISCOS SATA","0.36","A","10.5","N","N","N","R","158","001-0010","IDE/SATA","A"
"27276","ADAPTADOR LENOVO 1 PCIE 8X RISER CARD 1XCPU (I)","83.48","A","21.0","N","N","2","N","250","001-0500","4XC0G88823","A"
"35368","ADAPTADOR LENOVO PCIE Riser CARD 1 X3550 M5","100.73","A","10.5","N","N","N","1","250","001-0500","00KA061","A"
"24455","ADAPTADOR LENOVO PCIe Riser Card 2 X3650M5","142.2","A","21.0","N","N","N","1","250","001-0500","00KA498","A"
"35373","ADAPTADOR LENOVO PCIe Riser Card X3650M5","114.55","A","10.5","N","N","N","2","250","001-0500","00KA489","A"
"25754","ADAPTADOR LENOVO PCIE Riser X8 X8 X8 RD450","163.93","A","21.0","N","N","N","4","250","001-0500","4XF0G45897","A"
"1570","ADAPTADOR MOUSE/MODEM DB9H-DB25M","1.69","A","21.0","21","N","N","N","32","001-0340","","A"
"11222","ADAPTADOR N HEMBRA-RPSMA HEMBRA PACIFIC WIRELESS","2.47","A","21.0","N","2","N","N","256","001-1055","AD-NF-RPSMAF","A"
"70618","ADAPTADOR P/JOYSTICK 15M/15M","1.57","A","21.0","N","N","3","N","32","001-0530","","A"
"1586","ADAPTADOR P/MOUSE 9M/9M NB-515","1.26","A","21.0","14","3","N","N","32","001-0340","","A"
"2920","ADAPTADOR PPGA P/INTEL CELERON","13.97","A","10.5","9","N","N","N","1","001-0330","","A"
"2922","ADAPTADOR SCSI SCA 80H/BH50-68","18.54","A","21.0","N","1","N","N","1","001-0030","","A"
"53700","AIO 24 DELL OPTIPLEX 5400 I5-12500 8 256GB UBUNTU","2470.68","A","10.5","N","N","2","24","155","001-1261","30001317564931","A"
"53690","AIO 24 LENOVO NEO30A I5-1240P 8G SSD256 GTIA 1YOS","2440.17","A","10.5","2","N","2","43","222","001-1261","12B2A01CAC","A"
"212222","AIO 24 LENOVO NEO30A I5-1240P 8G SSD256 GTIA 3YOS","2472.78","A","10.5","N","N","N","96","222","001-1261","12B2001GAC","A"
"53691","AIO 24 LENOVO NEO30A I7-1260P 8GB SSD512 GTIA 1YOS","2780.14","A","10.5","2","N","4","21","222","001-1261","12B2A01DAC","A"
"212223","AIO 24 LENOVO NEO30A I7-1260P 8GB SSD512 GTIA 3YOS","2822.3","A","10.5","N","N","N","48","222","001-1261","12B2001HAC","A"
"210164","AIRE ACOND PHILCO 3550W INVERTER FRIO-CALOR","1066.06","E","21.0","N","N","N","1","142","001-0580","PHIN35HA3BN","E"
"212179","AIRE ACOND RCA 2600W FRIO/CALOR","681.38","E","21.0","N","N","R","N","669","001-1259","RE2600FC-F","E"
"212176","AIRE ACOND RCA 3200W FRIO/CALOR","710.21","E","21.0","N","N","N","1","669","001-0580","RE3200FC-F","E"
"212201","AIRE ACOND RCA 5100W FRIO CALOR","1183.44","E","21.0","1","N","N","N","669","001-0580","RES5100FC-F","E"
".AR","AJUSTE RENDONDEO","0.01","A","0.0","N","N","N","N","0","","","A"
"41950","ALARGUE MONITOR 15M/15H 1.5M","3.45","A","10.5","S","N","N","N","32","001-0030","","A"
"9370","ALARGUE MONITOR 15M/15H 3M CX","4.63","A","21.0","3","N","N","N","90","001-0030","CX417B","A"
"5216","ALARGUE MOUSE DB9M/9H 1.8M","2.04","A","21.0","1","N","N","N","32","001-0030","766623304238","A"
"5218","ALARGUE TECLADO AT 1.8M","0.73","A","21.0","4","2","N","N","32","001-0030","","A"
"464","ALARGUE TECLADO DIN5 D5M-5M 1.80 M","1.19","A","21.0","14","7","N","N","32","001-0030","","A"
"70455","ALMOHADILLAS X3 REEMPLAZO RADIAL CLEANER","0.72","A","21.0","11","N","7","N","1","001-0557","035286231329","A"
"72192","ALT. ARMOR P/EPSON K11431 S020193","2.04","A","10.5","31","N","29","N","8","001-0455","","A"
"41931","ALT. ARMOR P/EPSON K11431 S020193 -SIN CAJA","2.04","A","10.5","N","N","10","N","8","001-0011","","A"
"70090","ALT. ARMOR P/EPSON K11801 T020311","1.74","A","10.5","N","N","1","N","8","001-0455","3112534118018","A"
"41936","ALT. ARMOR P/EPSON K11825 T007311-SIN JACA-- VENCI","0.13","A","10.5","12","N","N","N","8","001-0455","","A"
"72195","ALT. ARMOR P/EPSON K11827 T009401","3.08","A","10.5","7","N","7","N","8","001-0455","","A"
"3432","ALT.P/EPSON S020193","2.13","A","10.5","4","1","6","N","15","001-0455","309035","A"
"1341","AMPL.  8MB  C4136A  P/HP 1100","184.33","A","10.5","1","N","N","N","1","001-0590","","A"
"69999","AMPL.  8MB EDO HP LASERJET 4000 HP08L15","110.86","A","10.5","3","N","N","N","1","001-0335","","A"
"2273","AMPL. 64MB HP VECTRA VL400 P1536A","159.13","A","10.5","1","N","N","N","1","001-0590","","A"
"30032","AMPL. 64MB KTC2430/64 CPQ DESKTOP KGST","2.71","A","10.5","1","N","N","N","96","001-0590","KTC2430/64","A"
"70063","AMPL. 64MB P/HPLASER 8000 HP64L14 MCARD","136.33","A","10.5","2","N","N","N","1","001-0590","","A"
"71342","AMPL.128MB HP 133Mhz ECC SDRAM TC2110 1818","41.34","A","10.5","4","N","N","N","605","001-0590","1818-8719","A"
"70405","AMPL.128MB P/DESKPRO 2000 CM128P15 MCARD","95.13","A","10.5","1","N","N","N","1","001-0590","","A"
"71588","AMPL.256MB KTH-X1000/256 HP SVR 2110 KGT","2.71","A","10.5","3","N","N","N","96","001-0590","KTH-X1000/256","A"
"71925","AMPL.256MB KTM3123/256 IBM  KGST","1.7","A","10.5","1","N","N","N","96","001-0590","KTM3123/256","A"
"31811","AMPL.256MB KTM43P150/256 UNIX WORKSTATION KGTN","2.71","A","10.5","1","N","N","N","96","001-0590","KTM43P150/256","A"
"31007","AMPL.256MB NYNIX CN0453 TOSHIBA A70 333 CL2.5","95.88","A","10.5","N","1","N","N","1","001-0590","CN0453","A"
"31006","AMPL.256MB SAMSUNG CN0452 TOSHIBA A70 333 CL2.5","52.31","A","10.5","2","N","N","N","1","001-0590","CN0452","A"
"50704","ANILLAS ORGANIZADORAS GABITEL SET X 5 UN. (N)","32.94","A","21.0","N","N","N","2","150","001-0054","O-ANILL-5","A"
"7095","ANTENA  7DBI OMNI D-LINK ANT24-0700 2400MHZ SMA","26.36","A","21.0","N","N","N","1","156","001-0612","ANT24-0700","A"
"42973","ANTENA 17DBI PANEL SECTORIAL 90º","221.73","A","21.0","1","N","N","N","117","001-0612","RPA17249","A"
