Descripcion,categoria,precio final,,,,569,electro
,,,,,,001-0001,impresion
65W AC ADAPTER DELTA ADP-65JH DB,accesorios,49.80602,,,,001-0010,accesorios
AC ADAPTER   - 76G011651-5A -,accesorios,52.41478,,,,001-0011,impresion
ACCESORIO ANGULO EXTERNO MOVIL 70/105X25U,redes,10.35518,,,,001-0014,pc
ACCESS POINT Aruba AP-515   WiFi6 (RW) Unified HPE,redes,1105.49725,,,,001-0015,sillas
ADAPTADOR 5.25M A 5.25M POWER 15CM 4PINES,cables,0.765765,,,,001-0016,discos
ADAPTADOR 80 A 68 PINES P/SCSI,accesorios,6.58845,,,,001-0020,accesorios
ADAPTADOR 9M-25M BN-5015,cables,1.66375,,,,001-0030,cables
ADAPTADOR BLUETOOTH TP-LINK UB400 USB,accesorios,14.136265,,,,001-0032,auriculares
ADAPTADOR C36H A DB25M,cables,29.12338,,,,001-0040,accesorios
ADAPTADOR DE CORRIENTE BROTHER PARA PJ-723/773,accesorios,61.63861,,,,001-0050,impresion
ADAPTADOR IBM PCIe Riser Card 2 00D8604 X3630M4,accesorios,54.6975,,,,001-0054,electro
ADAPTADOR IDE A S-ATA  NOGANET P/ DISCOS SATA,accesorios,0.474045,,,,001-0055,redes
ADAPTADOR LENOVO 1 PCIE 8X RISER CARD 1XCPU (I),accesorios,84.39871,,,,001-0060,impresion
ADAPTADOR LENOVO PCIE Riser CARD 1 X3550 M5,accesorios,92.98575,,,,001-0070,accesorios
ADAPTADOR LENOVO PCIe Riser Card 2 X3650M5,accesorios,143.748,,,,001-0071,accesorios
ADAPTADOR LENOVO PCIe Riser Card X3650M5,accesorios,105.7485,,,,001-0100,accesorios
ADAPTADOR LENOVO PCIE Riser X8 X8 X8 RD450,accesorios,165.7095,,,,001-0101,accesorios
ADAPTADOR MOUSE/MODEM DB9H-DB25M,mouse,1.74361,,,,001-0110,accesorios
ADAPTADOR N HEMBRA-RPSMA HEMBRA PACIFIC WIRELESS,cables,2.56883,,,,001-0131,accesorios
ADAPTADOR P/JOYSTICK 15M/15M,teclados,1.51734,,,,001-0134,discos
ADAPTADOR P/MOUSE 9M/9M NB-515,mouse,1.21121,,,,001-0140,accesorios
ADAPTADOR PPGA P/INTEL CELERON,procesadores,13.163865,,,,001-0150,accesorios
ADAPTADOR SCSI SCA 80H/BH50-68,cables,19.11316,,,,001-0160,electro
AIO 24 CX INTEL 4+32G FULLHD TEC+MOU  W10,pc,657.36671,,,,001-0168,proyector
AIO 24 DELL OPTIPLEX 5400 I5-12500 8 256GB UBUNTU,pc,2868.14242,,,,001-0170,impresion
AIO 24 LENOVO NEO30A I5-1240P 8G SSD256 GTIA 1YOS,pc,2166.19117,,,,001-0190,gabinetes
AIO 24 LENOVO NEO30A I7-1260P 8GB SSD512 GTIA 1YOS,pc,2467.99982,,,,001-0200,accesorios
AIRE ACOND NOBLEX 3200W INVERTER FRIO-CALOR,electro,1051.49,,,,001-0212,electro
AIRE ACOND NOBLEX 5200W FRIO-CALOR,electro,1217.865,,,,001-0231,accesorios
AIRE ACOND PHILCO 3550W INVERTER FRIO-CALOR,electro,1028.1975,,,,001-0251,impresion
AIRE ACOND SIAM 5200 W FRIO CALOR CAJA DAсDA,electro,1176.93675,,,,001-0252,impresion
,,,,,,001-0254,impresion
ALARGUE MONITOR 15M/15H 1.5M,cables,3.03875,,,,001-0255,impresion
ALARGUE MONITOR 15M/15H 3M CX,cables,4.6585,,,,001-0257,impresion
ALARGUE MOUSE DB9M/9H 1.8M,cables,2.07636,,,,001-0258,impresion
ALARGUE TECLADO AT 1.8M,cables,0.71874,,,,001-0260,impresion
ALARGUE TECLADO DIN5 D5M-5M 1.80 M,cables,1.14466,,,,001-0279,impresion
ALMOHADILLAS X3 REEMPLAZO RADIAL CLEANER,accesorios,0.70543,,,,001-0280,rams
ALT. ARMOR P/EPSON K11431 S020193,accesorios,2.47962,,,,001-0282,memorias
ALT. ARMOR P/EPSON K11431 S020193 -SIN CAJA,impresion,3.245385,,,,001-0290,electro
ALT. ARMOR P/EPSON K11801 T020311,accesorios,2.11497,,,,001-0300,redes
ALT. ARMOR P/EPSON K11825 T007311-SIN JACA-- VENCI,accesorios,0.158015,,,,001-0304,camaras
ALT. ARMOR P/EPSON K11827 T009401,accesorios,3.74374,,,,001-0305,webcams
ALT.P/EPSON S020193,accesorios,2.589015,,,,001-0309,webcams
AMPL.  8MB  C4136A  P/HP 1100,rams,166.83953,,,,001-0310,redes
AMPL.  8MB EDO HP LASERJET 4000 HP08L15,accesorios,92.28076,,,,001-0320,monitores
AMPL. 64MB HP VECTRA VL400 P1536A,rams,142.055485,,,,001-0330,procesadores
AMPL. 64MB KTC2430/64 CPQ DESKTOP KGST,rams,2.57686,,,,001-0331,mother
AMPL. 64MB P/HPLASER 8000 HP64L14 MCARD,rams,129.462905,,,,001-0332,coolers
AMPL.128MB HP 133Mhz ECC SDRAM TC2110 1818,rams,125.60977,,,,001-0333,pc
AMPL.128MB P/DESKPRO 2000 CM128P15 MCARD,rams,90.348115,,,,001-0335,accesorios
AMPL.256MB KTH-X1000/256 HP SVR 2110 KGT,rams,2.57686,,,,001-0340,mouse
AMPL.256MB KTM3123/256 IBM  KGST,rams,1.50722,,,,001-0351,auriculares
