Descripcion,lista1,Tipo,IVA,iva fin,Rubro,categoria,precio,,,,,569,electro
,,,,,,,,,,,,001-0001,impresion
65W AC ADAPTER DELTA ADP-65JH DB,37.42,A,21,1.21,001-0455,accesorios,49.80602,,,,,001-0010,accesorios
AC ADAPTER   - 76G011651-5A -,39.38,A,21,1.21,001-0455,accesorios,52.41478,,,,,001-0011,impresion
ACCESORIO ANGULO EXTERNO MOVIL 70/105X25U,7.78,A,21,1.21,001-0055,redes,10.35518,,,,,001-0014,pc
ACCESS POINT Aruba AP-515   WiFi6 (RW) Unified HPE,909.5,A,10.5,1.105,001-0612,redes,1105.49725,,,,,001-0015,sillas
ADAPTADOR 5.25M A 5.25M POWER 15CM 4PINES,0.63,A,10.5,1.105,001-1055,cables,0.765765,,,,,001-0016,discos
ADAPTADOR 80 A 68 PINES P/SCSI,4.95,A,21,1.21,001-0131,accesorios,6.58845,,,,,001-0020,accesorios
ADAPTADOR 9M-25M BN-5015,1.25,A,21,1.21,001-0030,cables,1.66375,,,,,001-0030,cables
ADAPTADOR C36H A DB25M,23.96,A,10.5,1.105,001-0030,cables,29.12338,,,,,001-0032,auriculares
ADAPTADOR DE CORRIENTE BROTHER PARA PJ-723/773,46.31,A,21,1.21,001-0455,accesorios,61.63861,,,,,001-0040,accesorios
ADAPTADOR IBM PCIe Riser Card 2 00D8604 X3630M4,45,A,10.5,1.105,001-0500,accesorios,54.6975,,,,,001-0050,impresion
ADAPTADOR IDE A S-ATA  NOGANET P/ DISCOS SATA,0.4,A,10.5,1.105,001-0010,accesorios,0.4862,,,,,001-0054,electro
ADAPTADOR LENOVO 1 PCIE 8X RISER CARD 1XCPU (I),63.41,A,21,1.21,001-0500,accesorios,84.39871,,,,,001-0055,redes
ADAPTADOR LENOVO PCIE Riser CARD 1 X3550 M5,76.5,A,10.5,1.105,001-0500,accesorios,92.98575,,,,,001-0060,impresion
ADAPTADOR LENOVO PCIe Riser Card 2 X3650M5,108,A,21,1.21,001-0500,accesorios,143.748,,,,,001-0070,accesorios
ADAPTADOR LENOVO PCIe Riser Card X3650M5,87,A,10.5,1.105,001-0500,accesorios,105.7485,,,,,001-0071,accesorios
ADAPTADOR LENOVO PCIE Riser X8 X8 X8 RD450,124.5,A,21,1.21,001-0500,accesorios,165.7095,,,,,001-0100,accesorios
ADAPTADOR MOUSE/MODEM DB9H-DB25M,1.31,A,21,1.21,001-0340,mouse,1.74361,,,,,001-0101,accesorios
ADAPTADOR N HEMBRA-RPSMA HEMBRA PACIFIC WIRELESS,1.93,A,21,1.21,001-1055,cables,2.56883,,,,,001-0110,accesorios
ADAPTADOR P/JOYSTICK 15M/15M,1.14,A,21,1.21,001-0530,teclados,1.51734,,,,,001-0131,accesorios
ADAPTADOR P/MOUSE 9M/9M NB-515,0.91,A,21,1.21,001-0340,mouse,1.21121,,,,,001-0134,discos
ADAPTADOR PPGA P/INTEL CELERON,10.83,A,10.5,1.105,001-0330,procesadores,13.163865,,,,,001-0140,accesorios
ADAPTADOR SCSI SCA 80H/BH50-68,14.36,A,21,1.21,001-0030,cables,19.11316,,,,,001-0150,accesorios
,,,,,,,,,,,,001-0160,electro
AIO 24 DELL OPTIPLEX 5400 I5-12500 8 256GB UBUNTU,2359.64,A,10.5,1.105,001-1261,pc,2868.14242,,,,,001-0168,proyector
AIO 24 LENOVO NEO30A I5-1240P 8G SSD256 GTIA 1YOS,1782.14,A,10.5,1.105,001-1261,pc,2166.19117,,,,,001-0170,impresion
AIO 24 LENOVO NEO30A I7-1260P 8GB SSD512 GTIA 1YOS,2030.44,A,10.5,1.105,001-1261,pc,2467.99982,,,,,001-0190,gabinetes
AIRE ACOND NOBLEX 3200W INVERTER FRIO-CALOR,790,E,21,1.21,001-0580,electro,1051.49,,,,,001-0200,accesorios
AIRE ACOND NOBLEX 5200W FRIO-CALOR,915,E,21,1.21,001-0580,electro,1217.865,,,,,001-0212,electro
AIRE ACOND PHILCO 3550W INVERTER FRIO-CALOR,772.5,E,21,1.21,001-0580,electro,1028.1975,,,,,001-0231,accesorios
AIRE ACOND SIAM 5200 W FRIO CALOR CAJA DAсDA,884.25,E,21,1.21,001-0580,electro,1176.93675,,,,,001-0251,impresion
,,,,,,,,,,,,001-0252,impresion
ALARGUE MONITOR 15M/15H 1.5M,2.5,A,10.5,1.105,001-0030,cables,3.03875,,,,,001-0254,impresion
ALARGUE MONITOR 15M/15H 3M CX,3.5,A,21,1.21,001-0030,cables,4.6585,,,,,001-0255,impresion
ALARGUE MOUSE DB9M/9H 1.8M,1.56,A,21,1.21,001-0030,cables,2.07636,,,,,001-0257,impresion
ALARGUE TECLADO AT 1.8M,0.54,A,21,1.21,001-0030,cables,0.71874,,,,,001-0258,impresion
ALARGUE TECLADO DIN5 D5M-5M 1.80 M,0.86,A,21,1.21,001-0030,cables,1.14466,,,,,001-0260,impresion
ALMOHADILLAS X3 REEMPLAZO RADIAL CLEANER,0.53,A,21,1.21,001-0557,accesorios,0.70543,,,,,001-0279,impresion
ALT. ARMOR P/EPSON K11431 S020193,2.04,A,10.5,1.105,001-0455,accesorios,2.47962,,,,,001-0280,rams
ALT. ARMOR P/EPSON K11431 S020193 -SIN CAJA,2.67,A,10.5,1.105,001-0011,impresion,3.245385,,,,,001-0282,memorias
ALT. ARMOR P/EPSON K11801 T020311,1.74,A,10.5,1.105,001-0455,accesorios,2.11497,,,,,001-0290,electro
ALT. ARMOR P/EPSON K11825 T007311-SIN JACA-- VENCI,0.13,A,10.5,1.105,001-0455,accesorios,0.158015,,,,,001-0300,redes
ALT. ARMOR P/EPSON K11827 T009401,3.08,A,10.5,1.105,001-0455,accesorios,3.74374,,,,,001-0304,camaras
ALT.P/EPSON S020193,2.13,A,10.5,1.105,001-0455,accesorios,2.589015,,,,,001-0305,webcams
AMPL.  8MB  C4136A  P/HP 1100,137.26,A,10.5,1.105,001-0590,rams,166.83953,,,,,001-0309,webcams
AMPL.  8MB EDO HP LASERJET 4000 HP08L15,75.92,A,10.5,1.105,001-0335,accesorios,92.28076,,,,,001-0310,redes
AMPL. 64MB HP VECTRA VL400 P1536A,116.87,A,10.5,1.105,001-0590,rams,142.055485,,,,,001-0320,monitores
AMPL. 64MB KTC2430/64 CPQ DESKTOP KGST,2.12,A,10.5,1.105,001-0590,rams,2.57686,,,,,001-0330,procesadores
AMPL. 64MB P/HPLASER 8000 HP64L14 MCARD,106.51,A,10.5,1.105,001-0590,rams,129.462905,,,,,001-0331,mother
AMPL.128MB HP 133Mhz ECC SDRAM TC2110 1818,103.34,A,10.5,1.105,001-0590,rams,125.60977,,,,,001-0332,coolers
AMPL.128MB P/DESKPRO 2000 CM128P15 MCARD,74.33,A,10.5,1.105,001-0590,rams,90.348115,,,,,001-0333,pc
AMPL.256MB KTH-X1000/256 HP SVR 2110 KGT,2.12,A,10.5,1.105,001-0590,rams,2.57686,,,,,001-0335,accesorios
AMPL.256MB KTM3123/256 IBM  KGST,1.24,A,10.5,1.105,001-0590,rams,1.50722,,,,,001-0340,mouse
AMPL.256MB KTM43P150/256 UNIX WORKSTATION KGTN,2.12,A,10.5,1.105,001-0590,rams,2.57686,,,,,001-0351,auriculares
