"Codigo","Descripcion","lista1","Tipo","IVA","ROS","MZA","CBA","LUG","Grupo","Rubro","Part Number","Tipo" 
"39624"," UVC ETIQUETA  CONTROL RADIACIÓN UV-C  X100U","63","A","21.0","2","1","2","2","0","","CD87-200","A"
"21068","65W AC ADAPTER DELTA ADP-65JH DB","37.42","A","21.0","2","N","N","N","90","001-0455","ADP-65JH DB","A"
"56","AC ADAPTER   - 76G011651-5A -","39.38","A","21.0","7","N","N","N","0","001-0455","76G011651-5A","A"
"163","ACCESORIO ANGULO EXTERNO MOVIL 70/105ºX25U","7.78","A","21.0","8","N","6","33","257","001-0055","FDAEM","A"
"36839","ACCESS POINT Aruba AP-515   WiFi6 (RW) Unified HPE","909.5","A","10.5","N","N","N","2","605","001-0612","Q9H62A","A"
"14106","ADAPTADOR 5.25M A 5.25M POWER 15CM 4PINES","0.63","A","10.5","95","32","60","N","90","001-1055","CX933D","A"
"70010","ADAPTADOR 80 A 68 PINES P/SCSI","4.95","A","21.0","1","N","N","N","32","001-0131","","A"
"70186","ADAPTADOR 9M-25M BN-5015","1.25","A","21.0","2","N","N","N","32","001-0030","","A"
"483","ADAPTADOR C36H A DB25M","23.96","A","10.5","N","N","1","N","32","001-0030","","A"
"53438","ADAPTADOR DE CORRIENTE BROTHER PARA PJ-723/773","46.31","A","21.0","N","N","N","1","20","001-0455","PAAD600A","A"
"14811","ADAPTADOR IBM PCIe Riser Card 2 00D8604 X3630M4","45","A","10.5","N","N","N","2","250","001-0500","00D8604","A"
"60424","ADAPTADOR IDE A S-ATA  NOGANET P/ DISCOS SATA","0.37","A","10.5","N","N","N","R","158","001-0010","IDE/SATA","A"
"27276","ADAPTADOR LENOVO 1 PCIE 8X RISER CARD 1XCPU (I)","63.41","A","21.0","N","N","2","N","250","001-0500","4XC0G88823","A"
"35368","ADAPTADOR LENOVO PCIE Riser CARD 1 X3550 M5","76.5","A","10.5","N","N","N","1","250","001-0500","00KA061","A"
"24455","ADAPTADOR LENOVO PCIe Riser Card 2 X3650M5","108","A","21.0","N","N","N","1","250","001-0500","00KA498","A"
"35373","ADAPTADOR LENOVO PCIe Riser Card X3650M5","87","A","10.5","N","N","N","2","250","001-0500","00KA489","A"
"25754","ADAPTADOR LENOVO PCIE Riser X8 X8 X8 RD450","124.5","A","21.0","N","N","N","4","250","001-0500","4XF0G45897","A"
"1570","ADAPTADOR MOUSE/MODEM DB9H-DB25M","1.31","A","21.0","21","N","N","N","32","001-0340","","A"
"11222","ADAPTADOR N HEMBRA-RPSMA HEMBRA PACIFIC WIRELESS","1.93","A","21.0","N","2","N","N","256","001-1055","AD-NF-RPSMAF","A"
"70618","ADAPTADOR P/JOYSTICK 15M/15M","1.14","A","21.0","N","N","3","N","32","001-0530","","A"
"1586","ADAPTADOR P/MOUSE 9M/9M NB-515","0.91","A","21.0","14","3","N","N","32","001-0340","","A"
"2920","ADAPTADOR PPGA P/INTEL CELERON","10.83","A","10.5","9","N","N","N","1","001-0330","","A"
"2922","ADAPTADOR SCSI SCA 80H/BH50-68","14.36","A","21.0","N","1","N","N","1","001-0030","","A"
"CX9301W","AIO 24 CX INTEL 4+32G FULLHD TEC+MOU  W10","540.82","A","10.5","N","N","N","R","90","002-1262","CX9301W","A"
"53700","AIO 24 DELL OPTIPLEX 5400 I5-12500 8 256GB UBUNTU","1804.43","A","10.5","1","N","2","S","155","001-1261","30001317564931","A"
"53690","AIO 24 LENOVO NEO30A I5-1240P 8G SSD256 GTIA 1YOS","1782.14","A","10.5","N","N","2","R","222","001-1261","12B2A01CAC","A"
"53691","AIO 24 LENOVO NEO30A I7-1260P 8GB SSD512 GTIA 1YOS","2030.44","A","10.5","1","N","4","22","222","001-1261","12B2A01DAC","A"
"53651","AIRE ACOND NOBLEX 3200W INVERTER FRIO-CALOR","790","E","21.0","1","N","N","N","142","001-0580","96NBXIN32H17N","E"
"210150","AIRE ACOND NOBLEX 5200W FRIO-CALOR","915","E","21.0","R","N","N","N","142","001-0580","NXS50HA4CN","E"
"210164","AIRE ACOND PHILCO 3550W INVERTER FRIO-CALOR","772.5","E","21.0","N","N","N","5","142","001-0580","PHIN35HA3BN","E"
"212179","AIRE ACOND RCA 2600W FRIO/CALOR","517.5","E","21.0","30","10","20","S","669","001-1259","RE2600FC-F","E"
"212176","AIRE ACOND RCA 3200W FRIO/CALOR","556.25","E","21.0","8","N","3","33","669","001-0580","RE3200FC-F","E"
"212201","AIRE ACOND RCA 5100W FRIO CALOR","857.56","E","21.0","9","N","5","84","669","001-0580","RES5100FC-F","E"
"01101","AIRE ACOND SIAM 5200 W FRIO CALOR CAJA DAÑADA","884.25","E","21.0","R","N","N","N","94","001-0580","SMS50HA4CNCD","E"
".AR","AJUSTE RENDONDEO","0.01","A","0.0","N","N","N","N","0","","","A"
"41950","ALARGUE MONITOR 15M/15H 1.5M","2.5","A","10.5","S","N","N","N","32","001-0030","","A"
"9370","ALARGUE MONITOR 15M/15H 3M CX","3.5","A","21.0","3","N","N","N","90","001-0030","CX417B","A"
"5216","ALARGUE MOUSE DB9M/9H 1.8M","1.56","A","21.0","5","N","N","N","32","001-0030","766623304238","A"
"5218","ALARGUE TECLADO AT 1.8M","0.54","A","21.0","4","2","N","N","32","001-0030","","A"
"464","ALARGUE TECLADO DIN5 D5M-5M 1.80 M","0.86","A","21.0","14","7","N","N","32","001-0030","","A"
"70455","ALMOHADILLAS X3 REEMPLAZO RADIAL CLEANER","0.53","A","21.0","11","N","7","N","1","001-0557","035286231329","A"
"72192","ALT. ARMOR P/EPSON K11431 S020193","2.04","A","10.5","31","N","29","N","8","001-0455","","A"
"41931","ALT. ARMOR P/EPSON K11431 S020193 -SIN CAJA","2.67","A","10.5","N","N","10","N","8","001-0011","","A"
"70090","ALT. ARMOR P/EPSON K11801 T020311","1.74","A","10.5","N","N","1","N","8","001-0455","3112534118018","A"
"41936","ALT. ARMOR P/EPSON K11825 T007311-SIN JACA-- VENCI","0.13","A","10.5","12","N","N","N","8","001-0455","","A"
"72195","ALT. ARMOR P/EPSON K11827 T009401","3.08","A","10.5","7","N","7","N","8","001-0455","","A"
"3432","ALT.P/EPSON S020193","2.13","A","10.5","4","1","6","N","15","001-0455","309035","A"
"1341","AMPL.  8MB  C4136A  P/HP 1100","137.26","A","10.5","1","N","N","N","1","001-0590","","A"
"69999","AMPL.  8MB EDO HP LASERJET 4000 HP08L15","75.92","A","10.5","3","N","N","N","1","001-0335","","A"
"2273","AMPL. 64MB HP VECTRA VL400 P1536A","116.87","A","10.5","1","N","N","N","1","001-0590","","A"
"30032","AMPL. 64MB KTC2430/64 CPQ DESKTOP KGST","2.12","A","10.5","1","N","N","N","96","001-0590","KTC2430/64","A"
"70063","AMPL. 64MB P/HPLASER 8000 HP64L14 MCARD","106.51","A","10.5","2","N","N","N","1","001-0590","","A"
"71342","AMPL.128MB HP 133Mhz ECC SDRAM TC2110 1818","103.34","A","10.5","4","N","N","N","605","001-0590","1818-8719","A"
"70405","AMPL.128MB P/DESKPRO 2000 CM128P15 MCARD","74.33","A","10.5","1","N","N","N","1","001-0590","","A"
"71588","AMPL.256MB KTH-X1000/256 HP SVR 2110 KGT","2.12","A","10.5","3","N","N","N","96","001-0590","KTH-X1000/256","A"
"71925","AMPL.256MB KTM3123/256 IBM  KGST","1.24","A","10.5","1","N","N","N","96","001-0590","KTM3123/256","A"
"31811","AMPL.256MB KTM43P150/256 UNIX WORKSTATION KGTN","2.12","A","10.5","1","N","N","N","96","001-0590","KTM43P150/256","A"
"31007","AMPL.256MB NYNIX CN0453 TOSHIBA A70 333 CL2.5","74.91","A","10.5","N","1","N","N","1","001-0590","CN0453","A"
"31006","AMPL.256MB SAMSUNG CN0452 TOSHIBA A70 333 CL2.5","32.34","A","10.5","2","N","N","N","1","001-0590","CN0452","A"
"50704","ANILLAS ORGANIZADORAS GABITEL SET X 5 UN. (N)","23.87","A","21.0","N","N","N","2","150","001-0054","O-ANILL-5","A"
"7095","ANTENA  7DBI OMNI D-LINK ANT24-0700 2400MHZ SMA","20.24","A","21.0","N","N","N","1","156","001-0612","ANT24-0700","A"
"42973","ANTENA 17DBI PANEL SECTORIAL 90º","168.4","A","21.0","1","N","N","N","117","001-0612","RPA17249","A"
"11225","ANTENA 7 DBI OMNI 2.4 GHZ NM PACIFIC WIRELESS","22.16","A","21.0","N","1","N","N","256","001-0612","OD24M-7","A"
"11223","ANTENA ROOTENA 5.8GHZ 24DBI MMCX PACIFIC WIRELESS","39.11","A","21.0","N","N","7","12","256","001-0612","R2T58-24-MMCX","A"
"11245","ANTENA ROOTENA 5.8GHZ 24DBI UFL PACIFIC WIRELESS","39.11","A","21.0","N","N","8","4","256","001-0612","R2T58-24-UFL","A"
"20926","APC 19 ROTATING KEYBOARD DRAWER BLACK","486.03","A","21.0","N","N","N","1","56","001-0054","AR8127BLK","A"
"APCAA002","APC 3.5KW SPLIT SYST EXTERNAL CONDENSER UNIT","3642.75","A","21.0","R","N","N","N","56","001-3560","ACRMD4KI-3","A"
"APCAA001","APC 3.5KW SPLITSYST INT UNIT, GRAVITY DRAIN","4099.65","A","21.0","R","N","N","N","56","001-3560","ACRMD4KI-1","A"
"28233","APC ATS P/RACK, 230 V, 16 A, ENTRADA C20/ C13/C19","1921.44","A","21.0","N","N","N","1","56","001-3560","AP4423","A"
"20642","APC BATERIA DE REEMPLAZO CARTUCHO #121","563.4","A","21.0","N","N","N","2","56","001-3560","APCRBC121","A"
"20924","APC CABLE MANAGEMENT RINGS (QTY. 5 LARGE AND","81.6","A","21.0","N","N","N","2","56","001-0054","AR8113A","A"
"18813","APC CABLE USB P/KVM 1.8M","179.94","A","21.0","N","N","N","2","56","001-3560","AP5253","A"
"APCAA004","APC CONDENSATE DRAIN PUMP","639.68","A","21.0","R","N","N","N","56","001-3560","ACAC10039","A"
"APCEP1003","APC Easy PDU,Metered,ZeroU,16A,230V,(18)C13 & (3)C","839.73","A","21.0","N","N","N","4","56","001-3560","EPDU1116M","A"
"APCEU3021","APC Easy UPS 3S Kit Paralelo","442.45","A","21.0","N","N","N","3","56","001-0540","E3SOPT002","A"
"52022","APC Fan cooler p/Easy Rack APC","165.78","A","21.0","N","N","N","3","56","001-3561","ER7FANTRAY","A"
"20981","APC MOD SERV USB VM P/KVM 2G","457.33","A","21.0","N","N","N","R","56","001-3560","KVM-USBVM","A"
"10665","APC Modbus/Jbus Interface Card","1559.31","A","21.0","N","N","N","1","56","001-0540","AP9622","A"
"17543","APC NetShelter SX 42U/48U Baying Trim Kit Black","85.52","A","21.0","N","N","N","2","56","001-3560","AR7600","A"
"18525","APC NetShelter SX Bolt-Down Kit","126.71","A","21.0","N","N","N","1","56","001-3561","AR7701","A"
"20928","APC PART DE PROTEC CABLES P/NETSHELTER 600MM","59.46","A","21.0","N","N","N","2","56","001-0054","AR8162ABLK","A"
"20917","APC PIEZAS P/MONT P/NETSHELTER ZERO U","84.7","A","21.0","N","N","N","R","56","001-0054","AR7711","A"
"21052","APC PROTEC TRANS POT P/LINEAS TEL DIGITAL","20.24","A","21.0","2","N","N","38","56","001-3560","PDIGTR","A"
