ID,DETALLE,CODIGO ALFA,CODIGO PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PRECIO,IVA,IMP. INTERNO,MARKUP,PRECIO PUBLICO,COTIZACION,PRECIO PUBLICO ARS,URI,FECHA HORA
949,Resma A4 70gr 500 hojas.,HUS7812,7812,Papeleria,Resmas,HUSARES,5.03,21.0,0.0,10,5.53,286.5,1584.35,https://elit.com.ar/producto/949-resma-a4-70gr-500-hojas,8/1/2023 9:18:53 PM 
3471,Cartucho de Tinta EPSON 133 Amarillo,EPST133420-AL,T133420-AL,Insumos,Cartuchos de Tinta,EPSON,15.97,10.5,0.0,10,17.57,286.5,5033.81,https://elit.com.ar/producto/3471-cartucho-de-tinta-epson-133-amarillo,8/1/2023 9:18:53 PM 
3882,Botella de Tinta EPSON 664 Cian,EPST664220-AL,T664220-AL,Insumos,Botellas de Tinta,EPSON,22.14,21.0,0.0,10,24.35,286.5,6976.28,https://elit.com.ar/producto/3882-botella-de-tinta-epson-664-cian,8/1/2023 9:18:53 PM 
4000,Parlante Z120 Stereo,LOGPARZ120WH,980-000573,Audio,Parlantes,LOGITECH,46.92,21.0,0.0,10,51.61,286.5,14786.27,https://elit.com.ar/producto/4000-parlante-z120-stereo,8/1/2023 9:18:53 PM 
4063,Botella de Tinta EPSON 673 Cian,EPST673220-AL,T673220-AL,Insumos,Botellas de Tinta,EPSON,19.4,21.0,0.0,10,21.34,286.5,6113.91,https://elit.com.ar/producto/4063-botella-de-tinta-epson-673-cian,8/1/2023 9:18:53 PM 
4521,Disco Externo HDD WESTERN DIGITAL Elements 1TB USB 3.0 Tipo A Negro,WD-HD1TBU3ELEN,WDBUZG0010BBK-WESN,Almacenamiento,Discos Externos,WD,133.3,10.5,0.0,10,146.63,286.5,42009.5,https://elit.com.ar/producto/4521-disco-externo-hdd-western-digital-elements-1tb-usb-3-0-tipo-a-negro,8/1/2023 9:18:53 PM 
4631,Funda p/Tablet BAGS FN10TBT-FRO Field Rose Estampado,BAGFUNFSN1415NA,FN10TBT-FRO,Estuches,Fundas,BAGS,9.74,21.0,0.0,10,10.71,286.5,3068.42,https://elit.com.ar/producto/4631-funda-p-tablet-bags-fn10tbt-fro-field-rose-estampado,8/1/2023 9:18:53 PM 
4634,Funda p/Tablet BAGS FN7TBT-NSV Newspaper Estampado,BAGFUNFSNHDN,FN7TBT-NSV,Estuches,Fundas,BAGS,5.93,21.0,0.0,10,6.52,286.5,1867.98,https://elit.com.ar/producto/4634-funda-p-tablet-bags-fn7tbt-nsv-newspaper-estampado,8/1/2023 9:18:53 PM 
4635,Funda p/Tablet BAGS FSN7TBT-N Negro,BAGFUNFSN7TBTN,FSN7TBT-N,Estuches,Fundas,BAGS,6.55,21.0,0.0,10,7.21,286.5,2065.67,https://elit.com.ar/producto/4635-funda-p-tablet-bags-fsn7tbt-n-negro,8/1/2023 9:18:53 PM 
4685,Cinta de tinta S015631 Negra para LX-350,EPSCINS015631,S015631,Insumos,Cintas,EPSON,6.36,21.0,0.0,10,7.0,286.5,2005.5,https://elit.com.ar/producto/4685-cinta-de-tinta-s015631-negra-para-lx-350,8/1/2023 9:18:53 PM 
4875,DVD-R 4.7GB 8X. Torre de 100 unidades,TDKDVD32002500,32002500,Almacenamiento,Dvd,TDK,25.6,21.0,0.0,10,28.16,286.5,8067.84,https://elit.com.ar/producto/4875-dvd-r-4-7gb-8x-torre-de-100-unidades,8/1/2023 9:18:53 PM 
5542,Funda p/Tablet BAGS Leopard Estampado,BAGFUNFN7TB-L,FN7TB-L,Estuches,Fundas,BAGS,5.93,21.0,0.0,10,6.52,286.5,1867.98,https://elit.com.ar/producto/5542-funda-p-tablet-bags-leopard-estampado,8/1/2023 9:18:53 PM 
5895,"Disco Interno HDD WESTERN DIGITAL Purple 1TB 3.5"" SATA 3.0 5400rpm",WD-HDWD10PURX,WD10PURZ,Almacenamiento,Discos Internos,WD,99.82,10.5,0.0,10,109.8,286.5,31457.7,https://elit.com.ar/producto/5895-disco-interno-hdd-western-digital-purple-1tb-3-5-sata-3-0-5400rpm,8/1/2023 9:18:53 PM 
5971,Cartucho de Tinta EPSON 296 Amarillo,EPST296420-AL,T296420-AL,Insumos,Cartuchos de Tinta,EPSON,19.27,10.5,0.0,10,21.2,286.5,6073.8,https://elit.com.ar/producto/5971-cartucho-de-tinta-epson-296-amarillo,8/1/2023 9:18:53 PM 
6283,Gabinete M-ATX KIT T M C/ Fuente 500W sin parlante,SOLGABCM-5832,CM-5832,Hardware,Gabinetes,SOLARMAX,84.01,10.5,0.0,10,92.41,286.5,26475.47,https://elit.com.ar/producto/6283-gabinete-m-atx-kit-t-m-c-fuente-500w-sin-parlante,8/1/2023 9:18:53 PM 
6310,Parlantes S150 Black,LOGPAR98000100,980-001004,Audio,Parlantes,LOGITECH,44.41,21.0,0.0,10,48.85,286.5,13995.53,https://elit.com.ar/producto/6310-parlantes-s150-black,8/1/2023 9:18:53 PM 
6591,Cámara Web LOGITECH C270,LOGWEBC270,960-000694,Perifericos,Camaras Web,LOGITECH,79.79,21.0,0.0,10,87.77,286.5,25146.11,https://elit.com.ar/producto/6591-camara-web-logitech-c270,8/1/2023 9:18:53 PM 
7014,Funda p/Tablet BAGS Invader Colours Estampado,BAGFUNFN7TBTINC,FN7TBT-INC,Estuches,Fundas,BAGS,7.01,21.0,0.0,10,7.71,286.5,2208.92,https://elit.com.ar/producto/7014-funda-p-tablet-bags-invader-colours-estampado,8/1/2023 9:18:53 PM 
7180,Cable auxiliar para audio 1mts diam 3.5 mm,XTECABXTG-212,XTG-212,Cables,Cables,XTECH,1.88,21.0,0.0,10,2.07,286.5,593.05,https://elit.com.ar/producto/7180-cable-auxiliar-para-audio-1mts-diam-3-5-mm,8/1/2023 9:18:53 PM 
7186,"Disco Interno SSD KINGSTON A400 240GB 2.5"" SATA 3.0  500MB/s",KINSSDSA400S240,SA400S37/240G,Almacenamiento,Discos Internos SSD,KINGSTON,50.17,10.5,0.0,10,55.19,286.5,15811.94,https://elit.com.ar/producto/7186-disco-interno-ssd-kingston-a400-240gb-2-5-sata-3-0-500mb-s,8/1/2023 9:18:53 PM 
