Marca,Categoria,SubCategoria,SubCategoria_Auxiliar,Codigo,Articulo,Disponible,L4,IVA,Deposito
ACER,Informática,Computadoras,Notebook,4711121020384,"NB ACER ASPIRE VERO 15.6"" I7-1195G7 16GB 512GB W11 FHD",1,1642.0,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ACER,Informática,Computadoras,Notebook,ACER-SF314-42-R6 YC,"NB ACER SWIFT 3 14"" R5-4500U 8GB 256GB W10 ING (SIN ADAPTADOR)",2,1722.09,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AKRACING,Informática,Gaming,Sillas,853845007679,SILLA AKR OCTANE RED,69,703.23,001-I.V.A. 21 %,01-DH.Principal Vtas.
AKRACING,Informática,Gaming,Sillas,853845007693,SILLA AKR OCTANE BLUE,42,703.09,001-I.V.A. 21 %,01-DH.Principal Vtas.
AKRACING,Informática,Gaming,Sillas,853845007709,SILLA AKR OCTANE WHITE,19,715.76,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Audio,Parlante Bluetooth,,841667166834,PARLANTE INTELIGENTE BT AMAZON ECHO DOT 3 WIFI NEGRO,-1,100.14,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Audio,Parlante Bluetooth,,B07XJ8C8F5,PARLANTE INTELIGENTE BT AMAZON ECHO DOT 4 WIFI NEGRO CARBON,0,114.34,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Audio,Parlante Bluetooth,,B084J4KNDS,PARLANTE INTELIGENTE BT AMAZON ECHO DOT 4 WIFI BLANCO GLACIAR,0,114.34,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Audio,Parlante Bluetooth,,B084J4MZK8,PARLANTE INTELIGENTE BT AMAZON ECHO DOT 4 WIFI AZUL,0,114.34,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Electrónica,Ebook,,840268941093,"E-READER 6"" AMAZON KINDLE (2022)  16GB WIFI DENIM",1,219.71,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AMAZON,Electrónica,TV,,840080588964,AMAZON FIRE TV STICK 4K (SIN PILAS) (SIN TRAFO),7,93.53,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Electrónica,TV,,840080593296,AMAZON FIRE STICK LITE (SIN TRAFO Y PILAS),1225,78.2,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Electrónica,TV,,841667144719,AMAZON FIRE TV STICK 4K (SIN PILAS) (SIN TRAFO),874,114.63,001-I.V.A. 21 %,01-DH.Principal Vtas.
AMAZON,Informática,Tablet,,840080504575,"TABLET 10"" AMAZON FIRE HD 3GB 32GB  WIFI DENIM",6,248.99,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AMAZON,Informática,Tablet,,840080509594,"TABLET 10"" AMAZON FIRE HD 3GB 32GB  WIFI BLACK",55,248.99,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AMAZON,Informática,Tablet,,840080519647,"TABLET 10"" AMAZON FIRE HD 3GB 32GB  WIFI OLIVE",5,248.99,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AMAZON,Informática,Tablet,,841667166797,"TABLET 7"" AMAZON FIRE 7 1GB 16GB VERDE",0,102.07,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
AMAZON,Informática,Tablet,,B07KD58DQS,"TABLET 10"" AMAZON FIRE HD 2GB 64GB  WIFI BLANCA",596,355.59,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Componentes,Motherboard AM5,90MB1BF0-M0EAY0,MOTHERBOARD ASUS TUF B650M-PLUS (AM5),30,414.03,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Componentes,Motherboard LGA 1200,90MB1E80-M0EAY0,MOTHERBOARD ASUS PRIME H510M-K(1200),583,144.91,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Componentes,Motherboard LGA 1700,90MB1A10-M0EAY0,MOTHERBOARD ASUS PRIME H610M-K D4(1700),429,175.0,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Computadoras,Notebook,195553379809,"NB ASUS R410MA 14"" N4020 4GB 128GB W11 ING",66,668.75,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Computadoras,Notebook,410KA,410KA,475,678.68,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Computadoras,Notebook,E410KA-BV223W,"NB ASUS 3410 14"" CEL N4500 4GB 128GB W11 ESP",31,910.59,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Computadoras,Notebook,FX506LH-HN002,"NB ASUS TUF F15 15.6""  I5-10300H 8GB 512GB SSD 144HZ IPS 1650 FREE DOS ESP",10,2511.05,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Computadoras,Notebook,FX506LH-HN002T,"NB ASUS TUF F15 15.6""  I5-10300H 8GB 512GB SSD 144HZ IPS 1650 W10 ESP",16,2977.49,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Computadoras,Notebook,FX506LI-HN039,"NB ASUS TUF 15.6"" I5-10300H 8GB 512GB SSD 144Hz GTX1650Ti ESP FREE",20,2126.78,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Computadoras,Notebook,K3500PA-L1168,"NB ASUS VIVOBOOK 15.6"" I5-11300H 8GB 512GB OLED  FREE DOS ESP",23,1605.61,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Computadoras,Notebook,UX371EA-HL503T,"NOTEBOOK ASUS ZENBOOK FLIP OLED 13.3"" TOUCH I5-1135G7 8GB 1TB-SSD -SSD OLED 4K W10 ESP",34,1822.98,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Computadoras,Notebook,UX425EA-BM004T,"NB ASUS ZENBOOK 14"" I5-1135G7 512GB 8GB W10 ESP",3,2223.95,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Computadoras,Notebook,UX425EA-KI419T,NB ASUS ZENBOOK 14” I5-1135G7 8GB 512GB W10 ESP,1,2317.34,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Computadoras,Notebook,X543UA-DM1422T,"NB ASUS X543 15.6"" I5-8250U 8GB 256GB W10 ESP",48,1167.26,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Computadoras,Notebook,X543UA-DM2180T,"NB ASUS X543 15.6"" I5-8250U 8GB 512GB SSD W10 ESPAÑOL",2,1827.57,002-I.V.A. 10.5 %,01-DH.Principal Vtas.
ASUS,Informática,Imagen,Monitores,4718017905053,"MONITOR ASUS GAMING LED 21,5"" VP228HE-J FULLHD 60Hz PARLANTES",55,314.88,001-I.V.A. 21 %,01-DH.Principal Vtas.
ASUS,Informática,Imagen,Monitores,4718017905053,"MONITOR ASUS GAMING LED 21,5"" VP228HE-J FULLHD 60Hz PARLANTES",55,314.88,005-Impuestos Internos,01-DH.Principal Vtas.
BLACKWEB,Audio,Parlante Bluetooth,,BWA17AA006,PARLANTE POTENCIADO BLACKWEB PERFORMER PORTABLE BLUETOOTH USB/AM-FM/AUX/ LED RGB,1,133.66,001-I.V.A. 21 %,11-DH.Dayama
BLAUPUNKT,Car-Audio,Stereo,,815592022985,STEREO DOBLE DIN BLAUPUNK MMLP13BD DVD/MP3/CD/BLUETOOTH,1,196.86,001-I.V.A. 21 %,01-DH.Principal Vtas.
BLAUPUNKT,Car-Audio,Stereo,,BERLIN-BUNDLE,"COMBO STEREO DOBLE DIN BLAUPUNK BERLIN 622 +  PAR DE PARLANTES 6.5""",132,270.65,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Audio,Parlante Bluetooth,,791489118774,PARLANTE BT BOSS BOLT IPX4 NEGRO,520,91.29,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Audio,Parlante Bluetooth,,791489125413,PARLANTE BT BOSS TUBE NEGRO SD,122,81.83,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Accesorios,,791489118804,"BOSS REAR VIEW MIRROR BV430RVM 4,3",17,194.97,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Accesorios,,791489310376,BOSS ANT-2 DIVERSITY ANTENA,1,20.26,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Accesorios,,791489340069,KIT INSTALACION AUDIO 4 GAUGE BOSS MISKIT10,1,58.68,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Amplificador,,791489115209,AMPLIFICADOR MONOBLOCK BOSS R1100M RIOT 1100W CLASE A/B,152,179.45,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Amplificador,,791489116466,AMPLIFICADOR 4CH BOSS AR1600.4 1600W A/B,88,241.44,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Amplificador,2 Canales,791489116497,AMPLIFICADOR BOSS AR1600.2 2 CANALES PUNETEABLE A 1- CLASE AB - 1600W MAX - 2 A 8 OHM,5,207.87,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Amplificador,Monoblock,791489116435,AMPLIFICADOR BOSS AR2000M MONOBLOCK - CLASE AB - 2000W MAX - 2 A 8 OHM,74,224.8,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Parlantes,,791489104906,PARLANTE BOSS CH6520 2V,1,39.42,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Parlantes,,791489104944,PARLANTE 6X9 BOSS CH6940  4V.  500W 4OHM,26,64.46,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Parlantes,,791489123082,"PARLANTE MOTO 3"" BOSS  MCBK420B  600W BLACK",111,117.6,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Parlantes,,791489123099,"PARLANTE MOTO 3"" BOSS MCBK400 FM 600W BLACK",181,81.62,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Parlantes,,791489132237,"PARLANTE 5.25"" BOSS CH5530B 3V 225WATTS 4OHM",213,53.77,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Parlantes,,791489180023,"TWEETER 1"" BOSS TW15 250W",14,27.29,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Parlantes,,791489180092,"TWEETER 1"" BOSS TW18 200W",2,26.93,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Parlantes,,791489180122,"TWEETER 5"" BOSS TW50 500W",3,81.51,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Parlantes,"6x9""",791489104937,"PARLANTE 6""x9"" BOSS CH6930 3V 400W 4 Ohms",28,67.86,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Stereo,,791489122412,STEREO SINGLE DIN BOSS 632UAB - BT/USB/AUX/FM/AM/F.DESMONTABLE,0,86.16,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Stereo,Din,791489117630,"STEREO BOSS BV9967B SINGLE DIN - PANT MOTORIZADA TACTIL 7"", BT/DVD/CD/USB/SD/FM/AM",1,286.36,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Stereo,Din,791489119412,STEREO BOSS 648UA SINGLE DIN - CD/USB/SD/AUX/FM/AM/F.DESMONTABLE,5,168.75,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Stereo,Din,791489124140,STEREO BOSS 750BRGB SINGLE DIN - BT/CD/USB/MP3/FM/AM/FRENTE DESMONTABLE,564,178.43,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Stereo,Din,791489124171,"STEREO BOSS BV860B SINGLE DIN - PANT. MOT. TACTIL 7"" BT/DVD/CD/USB/SD/FM/AM",2,408.81,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Stereo,Din-Doble,791489119276,"STEREO BOSS BV9372BI DOBLE DIN - PANTALLA TÁCTIL 6,2"", BT/DVD/CD/USB/SD/FM/AM",256,291.89,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Stereo,Din-Doble,791489123471,"STEREO DOBLE DIN BOSS BV765BLC - PANTALLA 6.5""  BT/DVD/CD/USB/SD/FM/AM",12,319.58,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Stereo,Din-Doble,791489124973,STEREO BOSS 480BRGB DOBLE DIN - BT/USB/MP3/FM/AM,583,128.52,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Subwoofer,,791489124591,"SUBWOOFER BOSS PD12LED 12"" 1600W 4OHM DVC LED",219,127.99,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Car-Audio,Subwoofer,"10""",791489120173,"SUBWOOFER AMPLIFICADO 10"" B.ASIENTO BOSS BAB10 10"" 1200W",7,331.67,001-I.V.A. 21 %,01-DH.Principal Vtas.
BOSS,Electrónica,Accesorios,Camaras de Seguridad,791489122863,"CAMARA PARA VEHICULO BCAM50 DASHCAM DVR SYSTEM 3"" LCD /8GB SD",66,91.06,001-I.V.A. 21 %,01-DH.Principal Vtas.
