Unnamed: 0,Accesorios / Auriculares,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Codigo,Producto,Fabricante,Nro. de Parte,Moneda,Precio,IVA,Imp. Int.,categoria
0415175,Auricular c/Microfono Logitech H390 Rose 981-001280,Logitech,981-001280,US$,72.16,21.00,0.00,Accesorios / Auriculares
0415174,Auricular c/Microfono Logitech H390 White 981-001285,Logitech,981-001285,US$,82.13,21.00,0.00,Accesorios / Auriculares
0414690,Auricular Corsair HS55 Gaming Stereo Carbon (3630),Corsair,CA-9011260-NA,US$,83.74,21.00,0.00,Accesorios / Auriculares
0414689,Auricular Corsair HS55 Gaming Stereo White (3678),Corsair,CA-9011261-NA,US$,83.88,21.00,0.00,Accesorios / Auriculares
0414692,Auricular Corsair HS55 Gaming Surround 7.1 Carbon (3715),Corsair,CA-9011265-NA,US$,97.47,21.00,0.00,Accesorios / Auriculares
0414691,Auricular Corsair HS55 Gaming Surround 7.1 White(3753),Corsair,CA-9011266-NA,US$,97.47,21.00,0.00,Accesorios / Auriculares
0414694,Auricular Corsair HS65 Gaming Surround 7.1 Carbon (3791),Corsair,CA-9011270-NA,US$,115.73,21.00,0.00,Accesorios / Auriculares
0414693,Auricular Corsair HS65 Gaming Surround 7.1 White (3838),Corsair,CA-9011271-NA,US$,115.73,21.00,0.00,Accesorios / Auriculares
0414773,Auricular Corsair HS80 RGB Gaming Surround 7.1 Carbon (4491),Corsair,CA-9011237-NA,US$,163.56,21.00,0.00,Accesorios / Auriculares
0414239,Auricular HyperX Cloud Flight Wireless HX-HSCF-BK/AM (8207),HyperX Perifericos,4P5L4AA#ABL,US$,189.47,21.00,0.00,Accesorios / Auriculares
0414446,Auricular HyperX Cloud Flight Wireless PS5/PS4 HHSF1-GA-BK/G (7309),HyperX Perifericos,4P5H6AA,US$,189.29,21.00,0.00,Accesorios / Auriculares
0414452,Auricular HyperX Cloud Stinger Black HX-HSCS-BK/NA (4983),HyperX Perifericos,4P5L7AA,US$,88.27,21.00,0.00,Accesorios / Auriculares
0414450,Auricular HyperX Cloud Stinger Core Gaming Headset Black PC (2489),HyperX Perifericos,4P4F4AA,US$,66.24,21.00,0.00,Accesorios / Auriculares
0415511,Auricular JBL BLUETOOTH T720 BLANCO,JBL,JBLT720BTWHTAM,US$,163.88,10.50,0.00,Accesorios / Auriculares
0415510,AURICULAR JBL FLEX TRULY WIRELESS BLANCO,JBL,JBLWFLEXWHT,US$,140.50,10.50,0.00,Accesorios / Auriculares
0415509,AURICULAR JBL FLEX TRULY WIRELESS NEGRO,JBL,JBLWFLEXBLK,US$,140.50,10.50,0.00,Accesorios / Auriculares
0415508,AURICULAR JBL T230 TRULY WIRELESS BLANCO,JBL,JBLT230NCTWSWAM,US$,163.87,10.50,0.00,Accesorios / Auriculares
0414705,Auricular JBL T510 BLUETOOTH AZUL (2828),JBL,JBLT510BTBLUAM,US$,102.27,10.50,0.00,Accesorios / Auriculares
0414615,Auricular JBL WAVE 300 Truly Wireless Blanco (3503),JBL,JBLW300TWSWHT,US$,130.41,10.50,0.00,Accesorios / Auriculares
0415023,Auricular Razer Kaira for XBOX Series Wireless White (9195),Razer,RZ04-03480200-R3U1,US$,173.26,10.50,0.00,Accesorios / Auriculares
0415024,Auricular Razer Kaira Pro for PS5 Wireless White/Black (9317),Razer,RZ04-04030100-R3U1,US$,360.98,10.50,0.00,Accesorios / Auriculares
0415008,Auricular Razer Kaira X for XBOX Series Electic Volt (Green) (9614),Razer,RZ04-03970600-R3U1,US$,117.13,21.00,0.00,Accesorios / Auriculares
0415009,Auricular Razer Kaira X for XBOX Series Pulse Red (9591),Razer,RZ04-03970500-R3U1,US$,117.13,21.00,0.00,Accesorios / Auriculares
0415010,Auricular Razer Kaira X for XBOX Series Shock Blue (9577),Razer,RZ04-03970400-R3U1,US$,117.13,21.00,0.00,Accesorios / Auriculares
0414682,Auricular Wir c/Microfono Logitech G535 Black 981-000971,Logitech,981-000971,US$,206.25,10.50,0.00,Accesorios / Auriculares
0415178,Auricular Wir c/Microfono Logitech Vibe 100 Rose 981-001223,Logitech,981-001223,US$,192.32,10.50,0.00,Accesorios / Auriculares
0415177,Auricular Wir c/Microfono Logitech Vibe 100 White  981-001218,Logitech,981-001218,US$,172.71,10.50,0.00,Accesorios / Auriculares
0400043,Auricular c/ Microfono Genius HS-02B,Genius,31710037100,US$,25.64,21.00,0.00,Accesorios / Auriculares
0400251,Auricular c/ Microfono Genius HS-04S,Genius,31710025100,US$,29.72,21.00,0.00,Accesorios / Auriculares
0401195,Auricular c/ Microfono Genius HS-04SU,Genius,31710045100,US$,30.65,21.00,0.00,Accesorios / Auriculares
0400252,Auricular c/ Microfono Genius HS-05A (2227),Genius,31710011100,US$,71.74,21.00,0.00,Accesorios / Auriculares
0402442,Auricular c/ Microfono Genius HS-300N,Genius,31710146100,US$,17.31,21.00,0.00,Accesorios / Auriculares
0411748,Auricular c/ Microfono Genius HS-G600V,Genius,31710015400,US$,32.16,21.00,0.00,Accesorios / Auriculares
0407130,Auricular c/ Micrófono Genius HS-M200C (SINGLE JACK),Genius,31710151103,US$,10.67,21.00,0.00,Accesorios / Auriculares
0405207,Auricular c/ Microfono Genius HS-M505X (SINGLE JACK) (5674),Genius,31710058101,US$,43.01,21.00,0.00,Accesorios / Auriculares
0403921,Auricular c/Mic Genius HS-400A Green,Genius,31710169100,US$,27.09,21.00,0.00,Accesorios / Auriculares
0408294,Auricular c/Microfono Logitech H111 Blk 1 Jack 981-000612,Logitech,981-000612,US$,22.99,21.00,0.00,Accesorios / Auriculares
0408126,Auricular c/Microfono Logitech H151 Blk 1 Jack 981-000587,Logitech,981-000587,US$,45.81,21.00,0.00,Accesorios / Auriculares
0405573,Auricular c/Microfono Logitech H390 981-000014,Logitech,981-000014,US$,104.08,21.00,0.00,Accesorios / Auriculares
0412175,Auricular Corsair HS35 Stereo Gaming Carbon (7526),Corsair,CA-9011195-NA,US$,59.20,21.00,0.00,Accesorios / Auriculares
0412945,Auricular Corsair HS60 Haptic USB Stereo Camuflados (8942),Corsair,CA-9011225-NA,US$,127.53,21.00,0.00,Accesorios / Auriculares
0411509,Auricular Genius HS-M300 Mobile Black,Genius,31710006400,US$,14.67,21.00,0.00,Accesorios / Auriculares
0411292,Auricular JBL ENDURANCE RUN Rojo (0131),JBL,JBLENDURRUNREDAM,US$,39.18,21.00,0.00,Accesorios / Auriculares
0409894,Auricular JBL T110 Azul (9821),JBL,JBLT110BLU,US$,21.52,21.00,0.00,Accesorios / Auriculares
0409893,Auricular JBL T110 Blanco (9814),JBL,JBLT110WHT,US$,21.52,21.00,0.00,Accesorios / Auriculares
0410241,Auricular JBL T110 Negro (9807),JBL,JBLT110BLK,US$,21.52,21.00,0.00,Accesorios / Auriculares
0413237,Auricular JBL T500 Blue (0247),JBL,JBLT500BLU,US$,59.97,21.00,0.00,Accesorios / Auriculares
0412333,Auricular JBL T500 Negro (0223),JBL,JBLT500BLK,US$,59.97,21.00,0.00,Accesorios / Auriculares
0413558,Auricular JBL T510 BLUETOOTH NEGRO (2804),JBL,JBLT510BTBLKAM,US$,102.27,10.50,0.00,Accesorios / Auriculares
0413494,Auricular PIXPRO BLUETOOTH SM100 BLANCO (6457),PIXPRO,SM100B,US$,12.05,10.50,0.00,Accesorios / Auriculares
0413928,Auricular Wir c/Microfono Logitech G435 Black 981-001049,Logitech,981-001049,US$,143.16,10.50,0.00,Accesorios / Auriculares
0413929,Auricular Wir c/Microfono Logitech G435 White 981-001073,Logitech,981-001073,US$,143.16,10.50,0.00,Accesorios / Auriculares
0413244,Auricular Wir c/Microfono Logitech G733 Black RGB 981-000863,Logitech,981-000863,US$,307.13,10.50,0.00,Accesorios / Auriculares
,Accesorios / Micrófonos,,,,,,,
Codigo,Producto,Fabricante,Nro. de Parte,Moneda,Precio,IVA,Imp. Int.,
0415062,Microfono Razer Seiren V2 X USB Black (7962),Razer,RZ19-04050100-R3U1,US$,211.85,21.00,0.00,Accesorios / Micrófonos
0412089,Microfono Blue/Logitech Snowball Black 988-000067,Logitech,988-000067,US$,85.88,21.00,0.00,Accesorios / Micrófonos
0412088,Microfono Blue/Logitech Snowball White 988-000070,Logitech,988-000070,US$,85.88,21.00,0.00,Accesorios / Micrófonos
,Accesorios / Mouse,,,,,,,
Codigo,Producto,Fabricante,Nro. de Parte,Moneda,Precio,IVA,Imp. Int.,
0415319,Mouse Genius NX 7000 BlueEye Black G5 (9770),Genius,31030027400,US$,25.95,10.50,0.00,Accesorios / Mouse
0415321,Mouse Genius NX 7000 BlueEye Blue G5 (9794),Genius,31030027402,US$,23.78,10.50,0.00,Accesorios / Mouse
0415322,Mouse Genius NX 7000 BlueEye Red G5 (9800),Genius,31030027403,US$,23.83,10.50,0.00,Accesorios / Mouse
0415320,Mouse Genius NX 7000 BlueEye White G5 (9787),Genius,31030027401,US$,23.92,10.50,0.00,Accesorios / Mouse
0415388,Mouse Genius NX-7010 Green G5 (8643),Genius,31030018403,US$,24.89,10.50,0.00,Accesorios / Mouse
0415126,Mouse Logitech G502X Gaming Black 910-006137,Logitech,910-006137,US$,131.56,10.50,0.00,Accesorios / Mouse
0415127,Mouse Logitech G502X Gaming White 910-006145,Logitech,910-006145,US$,131.56,10.50,0.00,Accesorios / Mouse
0415181,Mouse Logitech G705 Aurora White Gaming Wireless 910-006366,Logitech,910-006366,US$,119.48,10.50,0.00,Accesorios / Mouse
0415459,Mouse Logitech M110 Silent Black 910-006756,Logitech,910-006756,US$,16.55,10.50,0.00,Accesorios / Mouse
0415461,Mouse Logitech M110 Silent Blue 910-006662,Logitech,910-006662,US$,14.42,10.50,0.00,Accesorios / Mouse
0415460,Mouse Logitech M110 Silent Gray 910-006757,Logitech,910-006757,US$,14.42,10.50,0.00,Accesorios / Mouse
0415462,Mouse Logitech M110 Silent Red 910-006755,Logitech,910-006755,US$,14.42,10.50,0.00,Accesorios / Mouse
0414756,Mouse Logitech Wir Lift Ergo Black 910-006466,Logitech,910-006466,US$,143.75,10.50,0.00,Accesorios / Mouse
0414754,Mouse Logitech Wir Lift Ergo Black Left Handed 910-006467,Logitech,910-006467,US$,90.56,10.50,0.00,Accesorios / Mouse
0414753,Mouse Logitech Wir Lift Ergo Rose 910-006472,Logitech,910-006472,US$,143.83,10.50,0.00,Accesorios / Mouse
0414755,Mouse Logitech Wir Lift ErgoWhite 910-006469,Logitech,910-006469,US$,143.83,10.50,0.00,Accesorios / Mouse
0415458,Mouse Logitech Wir M170 Rose Blister 910-006862,Logitech,910-006862,US$,24.30,10.50,0.00,Accesorios / Mouse
0415463,Mouse Logitech Wir M170 White Blister 910-006864,Logitech,910-006864,US$,24.30,10.50,0.00,Accesorios / Mouse
0415122,Mouse Logitech Wir M350 Pebble Lavender 910-006659,Logitech,910-006659,US$,65.73,10.50,0.00,Accesorios / Mouse
0414188,Mouse Logitech Wir M650 Large Graphite 910-006231,Logitech,910-006231,US$,80.97,10.50,0.00,Accesorios / Mouse
0414189,Mouse Logitech Wir M650 Large White 910-006233,Logitech,910-006233,US$,80.97,10.50,0.00,Accesorios / Mouse
0414187,Mouse Logitech Wir M650 White 910-006252,Logitech,910-006252,US$,80.97,10.50,0.00,Accesorios / Mouse
0415032,Soporte para Mouse Razer Bungee V3 Black (3588),Razer,RC21-01560100-R3U1,US$,48.91,21.00,0.00,Accesorios / Mouse
0415033,Soporte para Mouse Razer Bungee V3 Chroma (3564),Razer,RC21-01520100-R3U1,US$,94.06,21.00,0.00,Accesorios / Mouse
0407792,Mouse Genius DX-110 PS2 Black (1552),Genius,31010116106,US$,8.43,10.50,0.00,Accesorios / Mouse
0407786,Mouse Genius DX-110 USB Black (1477),Genius,31010116100,US$,13.63,10.50,0.00,Accesorios / Mouse
0407794,Mouse Genius DX-110 USB Blue (1491),Genius,31010116103,US$,9.79,10.50,0.00,Accesorios / Mouse
0407795,Mouse Genius DX-110 USB Red (15007),Genius,31010116104,US$,13.93,10.50,0.00,Accesorios / Mouse
0407793,Mouse Genius DX-110 USB White (1484),Genius,31010116102,US$,14.05,10.50,0.00,Accesorios / Mouse
0407796,Mouse Genius DX-120 USB Black (0975),Genius,31010105100,US$,13.93,10.50,0.00,Accesorios / Mouse
0407797,Mouse Genius DX-120 USB White (0982),Genius,31010105102,US$,10.03,10.50,0.00,Accesorios / Mouse
0414055,Mouse Genius Micro Traveler 900S USB blk (New Package) (8933),Genius,31030021400,US$,39.94,10.50,0.00,Accesorios / Mouse
0414056,Mouse Genius Micro Traveler 900S USB Gr (New Package) (8940),Genius,31030021401,US$,39.94,10.50,0.00,Accesorios / Mouse
0400632,Mouse Genius Micro Traveler Black USB (7885),Genius,31010125100,US$,17.86,10.50,0.00,Accesorios / Mouse
0400630,Mouse Genius Micro Traveler Ruby USB (8691),Genius,31010125103,US$,16.37,10.50,0.00,Accesorios / Mouse
0400631,Mouse Genius Micro Traveler Silver USB (8684),Genius,31010125102,US$,17.10,10.50,0.00,Accesorios / Mouse
0400732,Mouse Genius Micro Traveler White USB (8707),Genius,31010125104,US$,17.09,10.50,0.00,Accesorios / Mouse
0413966,Mouse Genius NX 7010 BlueEye White/Blue (New Package) (8612),Genius,31030018400,US$,24.88,10.50,0.00,Accesorios / Mouse
0414058,Mouse Genius NX 7010 BlueEye White/Red (New Package) (8629),Genius,31030114111,US$,24.89,10.50,0.00,Accesorios / Mouse
0413967,Mouse Genius NX-7010 BlueEye Magenta (New Package) (8636),Genius,31030018402,US$,24.88,10.50,0.00,Accesorios / Mouse
0413883,Mouse Genius NX-7015 BlueEye Gray  (New Package) (8667),Genius,31030019400,US$,25.88,10.50,0.00,Accesorios / Mouse
0413973,Mouse Genius NX-8000S BlueEye Black (9077),Genius,31030025400,US$,26.99,10.50,0.00,Accesorios / Mouse
0413974,Mouse Genius NX-8000S BlueEye Red (9121),Genius,31030025401,US$,26.99,10.50,0.00,Accesorios / Mouse
0413975,Mouse Genius NX-8006S BlueEye Black (9060),Genius,31030024400,US$,26.99,10.50,0.00,Accesorios / Mouse
0413976,Mouse Genius NX-8006S BlueEye Red (9114),Genius,31030024401,US$,26.99,10.50,0.00,Accesorios / Mouse
0408300,"Mouse Genius X-G200, Gaming USB (1538)",Genius,31040034100,US$,12.99,10.50,0.00,Accesorios / Mouse
0407747,Mouse GX/Genius Scorpion M6-400 Gaming(1217),GX,31040062101,US$,26.99,10.50,0.00,Accesorios / Mouse
0413294,Mouse Logitech G Pro X Superlight Black 910-005879,Logitech,910-005879,US$,217.69,10.50,0.00,Accesorios / Mouse
0413295,Mouse Logitech G Pro X Superlight White 910-005941,Logitech,910-005941,US$,217.69,10.50,0.00,Accesorios / Mouse
0412745,Mouse Logitech G203 Gaming Lightsync Black 910-005793,Logitech,910-005793,US$,52.53,10.50,0.00,Accesorios / Mouse
0412989,Mouse Logitech G203 Gaming Lightsync Blue 910-005795,Logitech,910-005795,US$,47.68,10.50,0.00,Accesorios / Mouse
0409486,Mouse Logitech G300S Optical Gaming 910-004344,Logitech,910-004344,US$,48.24,10.50,0.00,Accesorios / Mouse
0411088,Mouse Logitech G305 Lightspeed Wireless Black 910-005281,Logitech,910-005281,US$,74.50,10.50,0.00,Accesorios / Mouse
0412866,Mouse Logitech G305 Lightspeed Wireless Blue 910-006013,Logitech,910-006013,US$,65.16,10.50,0.00,Accesorios / Mouse
0414018,Mouse Logitech G305 Lightspeed Wireless Mint 910-006377,Logitech,910-006377,US$,62.83,10.50,0.00,Accesorios / Mouse
0411884,Mouse Logitech G403 Hero Gaming 910-005631,Logitech,910-005631,US$,82.26,10.50,0.00,Accesorios / Mouse
0411391,Mouse Logitech G502 Gaming Hero 910-005550,Logitech,910-005550,US$,103.29,10.50,0.00,Accesorios / Mouse
0411837,Mouse Logitech G502 Wireless Gaming LIGHTSPEED 910-005566,Logitech,910-005566,US$,152.76,10.50,0.00,Accesorios / Mouse
0412086,Mouse Logitech G604 Gaming Lightspeed Wireless 910-005648,Logitech,910-005648,US$,138.21,10.50,0.00,Accesorios / Mouse
0405566,Mouse Logitech M90 Dark Midnight Gray 910-004053,Logitech,910-004053,US$,11.21,10.50,0.00,Accesorios / Mouse
0410439,Mouse Logitech Wir M170 Black Blister 910-004940,Logitech,910-004940,US$,25.78,10.50,0.00,Accesorios / Mouse
0410440,Mouse Logitech Wir M170 Blue Blister 910-004800,Logitech,910-004800,US$,22.79,10.50,0.00,Accesorios / Mouse
