"CODIGO";"ID FABRICANTE";"CATEGORIA";"DETALLE";"IMAGEN";"IVA";"STOCK";"GARANTIA";"MONEDA";"PRECIO";"PRECIO FINAL";"COTIZACION DOLAR";"PRECIO PESOS SIN IVA";"PRECIO PESOS CON IVA";"ATRIBUTOS"
"104510";"F 3000";"ACCESORIOS";"FLUX PASTERMAX MAX 3000 EN GEL";"https://static.nb.com.ar/i/nb_FLUX-PASTERMAX-MAX-3000-EN-GEL_ver_14a5c6cfba2e1392ec711534e2a1509c.jpeg";"21.0%";"35";"6 meses";"U$S";"4.09";"4.95";"400";"1637.17";"1980.97";"PRESENTACION: Jeringa de 10cc en caja.
APARIENCIA: Gel transparente, amarillo a ámbar claro."
"102725";"CPU B30 BLANCA";"ACCESORIOS";"GRASA SILICONADA PASTERMAX PARA CPU B30 (BLANCA) PASTA TERMICA";"https://static.nb.com.ar/i/nb_GRASA-SILICONADA-PASTERMAX-PARA-CPU-B30-(BLANCA)-PASTA-TERMICA_ver_62eedd6ee9a46873fa52cfcf391b3f09.jpeg";"21.0%";"35";"6 meses";"U$S";"3.31";"4";"400";"1323.39";"1601.3";"Rango de temperatura:30 a 240º C
Peso de la unidad:4 g
Modelo:B30
Color:Blanco
Tipo de envase:Jeringa"
"118324";"NGA-520 BL";"ACCESORIOS";"ACCESORIOS NOGANET CARGADOR 2A MICRO USB";"https://static.nb.com.ar/i/nb_ACCESORIOS-NOGANET-CARGADOR-2A-MICRO-USB_ver_f36c1227d34d414d5ddbed5f6ec15f91.jpg";"21.0%";"35";"12 meses";"U$S";"4.95";"5.99";"400";"1980.72";"2396.67";"Voltaje de entrada:220V
Condición del ítem:Nuevo
 Modelo del cargador:NGA-520
Voltaje de salida:5V
 Marca del cargador:Noga
Tipo de cargador:De pared
Tipo de velocidad de carga:Rápida
Tipo de conector:Micro-USB"
"103174";"CL-O020-PL00SW-A";"ACCESORIOS";"ACCESORIOS THERMALTAKE MEMORY LIGHTING KIT LED MEMORY";"https://static.nb.com.ar/i/nb_ACCESORIOS-THERMALTAKE-MEMORY-LIGHTING-KIT-LED-MEMORY_ver_387791e5b8f21f332fc5c62241cb91a5.jpeg";"21.0%";"4";"12 meses";"U$S";"76.23";"92.24";"400";"30493.04";"36896.57";"Interface:USB 2.0
Peso:168 g
Marca:Thermaltake
Código universal de producto:818241986201
Modelo:CL-O020-PL00SW-A
SKU:CL-O020-PL00SW-A
UPC:818241986201
Requisitos del sistema:Windows 7 / 8 / 8.1 / 10
Voltaje de alimentación: 5V"
"118032";"24679";"ACCESORIOS";"POWERBANK TRUST PRIMO 5000 ECO";"https://static.nb.com.ar/i/nb_POWERBANK-TRUST-PRIMO-5000-ECO_ver_dbf92bac4d920ff035ffb29e904168a7.png";"21.0%";"23";"12 meses";"U$S";"40.52";"49.03";"400";"16206.8";"19610.23";"Watt-hour rating:18.5 Wh
Number of USB ports:2
Input port: micro-USB USB-C
Input power:Input power
 Safe & certified battery:yes
Fast re-charging:yes
 Flashlight:no
Battery capacity (mAh):5000 mAh
Accessories:USB-C charge cable
Indicators:Battery level"
"108592";"RC21-01560100-R3U1";"ACCESORIOS";"ACCESORIOS RAZER BUNGEE V3";"https://static.nb.com.ar/i/nb_ACCESORIOS-RAZER-BUNGEE-V3_ver_41618a804791085a18b31ef24d9d0600.jpeg";"21.0%";"35";"12 meses";"U$S";"29.1";"35.21";"400";"11639.38";"14083.64";"Marca:Razer
Código universal de producto:8886419313588
Modelo:Mouse Bungee v3
Brazo :de resorte con abrazadera de presión para cables para un control sin arrastre del cable
Base :antideslizante con peso para mayor estabilidad"
"102524";"AC-040-A31NAN-C1";"ACCESORIOS";"ACCESORIOS THERMALTAKE CORE P5 AIO BRACKET BLACK";"https://static.nb.com.ar/i/nb_ACCESORIOS-THERMALTAKE-CORE-P5-AIO-BRACKET-BLACK_ver_0e85b46d454a2e6b843abf463d4d77a8.jpeg";"21.0%";"35";"12 meses";"U$S";"23.25";"28.14";"400";"9301.69";"11255.05";"Alto:140 mm
Ancho:243 mm
Largo:30000 mm"
"102857";"AEX500U3-CRD";"ACCESORIOS";"ACCESORIOS ADATA carry GABINETE P/SSD EX500 RED";"https://static.nb.com.ar/i/nb_ACCESORIOS-ADATA-carry-GABINETE-P/SSD-EX500-RED_ver_54e15d6dfec0ebbc40dca605d523f2ad.jpeg";"21.0%";"12";"12 meses";"U$S";"20.8";"25.17";"400";"8320.44";"10067.73";"Marca:Adata
Tamaños compatibles:2,5""
Interfaces externas:USB 3.1
Código universal de producto:4712366969636
Incluye kit de instalación:No
Incluye cable USB:Sí
Interfaces internas:SATA III
Modelo:EX500
Altura del paquete:2.8 cm
Largo del paquete:15.2 cm
Peso del paquete:100 g
Ancho del paquete:12.2 cm
SKU:AEX500U3-CRD
Tipo de disco soportado:HDD/SSD"
"118308";"929002532112";"ACCESORIOS";"ACCESORIOS WIZ HUE CABLE 1M 800LM EXTENSION";"https://static.nb.com.ar/i/nb_ACCESORIOS-WIZ-HUE-CABLE-1M-800LM-EXTENSION_ver_8461d861492e7cc336fc45162a8f2c32.jpg";"10.5%";"9";"6 meses";"U$S";"14.85";"16.41";"400";"5941.22";"6565.05";"Marca:Wiz
Incluye fuente de alimentación:Sí
Condición del ítem:Nuevo
Largo:1 m
Modelo:929002532112
Potencia por metro:11 W
Voltaje:110V/220V
Con Wi-Fi:Sí"
"108780";"RC21-01520100-R3U1";"ACCESORIOS";"ACCESORIOS RAZER BUNGEE V3 CHROMA";"https://static.nb.com.ar/i/nb_ACCESORIOS-RAZER-BUNGEE-V3-CHROMA_ver_58daa88da21700f286f01692139d8d95.jpg";"21.0%";"30";"12 meses";"U$S";"61.48";"74.39";"400";"24591.17";"29755.31";"Marca:Razer
Código universal de producto:8886419313564
Modelo:Mouse Bungee v3 Chroma
Iluminación :Chroma? RGB"
"101139";"BA-PUCKR-W1";"ACCESORIOS";"ACCESORIOS PORTA AURICULARES NZXT PUCK  WHITE";"https://static.nb.com.ar/i/nb_ACCESORIOS-PORTA-AURICULARES-NZXT-PUCK--WHITE_ver_5a6317c1cded8b56506934e4dabe42ee.jpeg";"21.0%";"35";"12 meses";"U$S";"35.6";"43.08";"400";"14240.61";"17231.14";"Marca:NZXT
EAN:5060301693504
Código universal de producto:5060301693504
Modelo:BA-PUCKR-W1
SKU:BA-PUCKR-W1"
"111771";"ADAPT VGA/DVI";"ACCESORIOS";"ACCESORIOS GENERICO ADAPTADOR VGA/DVI";"https://static.nb.com.ar/i/nb_ACCESORIOS-GENERICO-ADAPTADOR-VGA/DVI_ver_a9eb7d7d86b1d8d0cf2da450dd8927c8.jpg";"21.0%";"16";"-";"U$S";"14.67";"17.75";"400";"5866.56";"7098.54";"Conector de salida:DVI-I Dual Link
Conector de entrada:VGA
Cantidad de conectores de entrada:1
Modelo:24+1
Cantidad de conectores de salida:1
SKU:24+1"
"104935";"23647";"ACCESORIOS";"ACCESORIOS PORTA AURICULARES TRUST GXT 265 CINTAR RGB";"https://static.nb.com.ar/i/nb_ACCESORIOS-PORTA-AURICULARES-TRUST-GXT-265-CINTAR-RGB_ver_9aa21a53281c1ba04ba5addcad773562.png";"21.0%";"31";"12 meses";"U$S";"46.42";"56.16";"400";"18566.6";"22465.59";"Power switch:no
Cable length main cable: 150 cm
Number of USB ports:2
USB version:2.0
Lights:yes
Compatible Device Types:laptop, pc
Compatible Consoles:no
Peso del producto (neto): 425 gPeso del producto (:425 g"
